{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.79, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.14, 'datetime': '2018-10-09 19:51:34.167122', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 309, 'pitch': -3.39, 'roll': -2.36, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.79, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.13, 'datetime': '2018-10-09 19:51:37.196375', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 309, 'pitch': -3.39, 'roll': -2.32, 'pres': 183}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.79, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.14, 'datetime': '2018-10-09 19:51:37.230449', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 309, 'pitch': -3.39, 'roll': -2.19, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.79, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.14, 'datetime': '2018-10-09 19:51:37.262805', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 309, 'pitch': -3.39, 'roll': -1.98, 'pres': 183}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.79, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.14, 'datetime': '2018-10-09 19:51:37.301391', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 309, 'pitch': -3.39, 'roll': -1.74, 'pres': 183}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.79, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.14, 'datetime': '2018-10-09 19:51:37.325850', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 309, 'pitch': -3.39, 'roll': -1.48, 'pres': 183}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.19, 'datetime': '2018-10-09 19:51:37.343870', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 309, 'pitch': -3.39, 'roll': -1.26, 'pres': 183}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.35, 'datetime': '2018-10-09 19:51:37.360710', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 309, 'pitch': -3.36, 'roll': -1.15, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.79, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.61, 'datetime': '2018-10-09 19:51:37.371515', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 310, 'pitch': -3.27, 'roll': -1.12, 'pres': 183}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.79, 'lipoC3S2': 7.8, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 16.89, 'datetime': '2018-10-09 19:51:37.388190', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 310, 'pitch': -3.22, 'roll': -1.14, 'pres': 183}
{'lipoC2': 7.35, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.79, 'lipoC3S2': 7.79, 'rot1': 238, 'rot0': 234, 'rot3': 198, 'rot2': 177, 'state': 'normal', 'yaw': 17.19, 'datetime': '2018-10-09 19:51:37.404870', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 310, 'pitch': -3.21, 'roll': -1.16, 'pres': 184}
