{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.55, 'lipoC3S2': 8.31, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 25.62, 'datetime': '2018-10-03 17:37:22.666051', 'mgs': 0, 'volt': 0.9863, 'depth': 2.911, 'time': 27, 'pitch': -8.56, 'roll': 0.27, 'pres': 202}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 28.38, 'datetime': '2018-10-03 17:37:22.676690', 'mgs': 0, 'volt': 0.9814, 'depth': 2.835, 'time': 27, 'pitch': -9.99, 'roll': 0.65, 'pres': 201}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.55, 'lipoC3S2': 8.31, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 31.45, 'datetime': '2018-10-03 17:37:22.686864', 'mgs': 0, 'volt': 0.9766, 'depth': 2.759, 'time': 27, 'pitch': -11.79, 'roll': 1.02, 'pres': 200}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.55, 'lipoC3S2': 8.31, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 35.06, 'datetime': '2018-10-03 17:37:22.696973', 'mgs': 0, 'volt': 0.9717, 'depth': 2.682, 'time': 28, 'pitch': -14.12, 'roll': 0.95, 'pres': 199}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.55, 'lipoC3S2': 8.31, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 38.46, 'datetime': '2018-10-03 17:37:22.707076', 'mgs': 0, 'volt': 0.9668, 'depth': 2.606, 'time': 28, 'pitch': -16.09, 'roll': 0.46, 'pres': 198}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.55, 'lipoC3S2': 8.31, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 42.33, 'datetime': '2018-10-03 17:37:22.717181', 'mgs': 0, 'volt': 0.9619, 'depth': 2.53, 'time': 28, 'pitch': -17.46, 'roll': -0.42, 'pres': 197}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.55, 'lipoC3S2': 8.31, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 45.95, 'datetime': '2018-10-03 17:37:22.727291', 'mgs': 0, 'volt': 0.957, 'depth': 2.454, 'time': 28, 'pitch': -17.8, 'roll': -1.41, 'pres': 196}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.55, 'lipoC3S2': 8.31, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 49.69, 'datetime': '2018-10-03 17:37:22.737412', 'mgs': 0, 'volt': 0.9521, 'depth': 2.377, 'time': 28, 'pitch': -18.08, 'roll': -2.45, 'pres': 195}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.25, 'lipoC3S3': 12.55, 'lipoC3S2': 8.31, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 53.9, 'datetime': '2018-10-03 17:37:22.747732', 'mgs': 0, 'volt': 0.9521, 'depth': 2.377, 'time': 28, 'pitch': -18.51, 'roll': -3.49, 'pres': 195}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.25, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 95, 'rot0': 99, 'rot3': 39, 'rot2': 42, 'state': 'normal', 'yaw': 57.36, 'datetime': '2018-10-03 17:37:22.757862', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 28, 'pitch': -18.22, 'roll': -3.92, 'pres': 194}
{'lipoC2': 7.27, 'lipoC3S1': 4.15, 'temp': 27.19, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.25, 'datetime': '2018-10-03 17:37:22.767786', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 1, 'pitch': -19.37, 'roll': 6.19, 'pres': 189}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.41, 'datetime': '2018-10-03 17:37:22.777709', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 1, 'pitch': -19.41, 'roll': 5.32, 'pres': 188}
{'lipoC2': 7.27, 'lipoC3S1': 4.16, 'temp': 27.19, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.83, 'datetime': '2018-10-03 17:37:22.787649', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 1, 'pitch': -19.18, 'roll': 3.83, 'pres': 186}
