{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:38.995597', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 39, 'pitch': -3.94, 'roll': -0.31, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.024569', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 39, 'pitch': -3.94, 'roll': -0.31, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.048492', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 39, 'pitch': -3.94, 'roll': -0.31, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.072014', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 39, 'pitch': -3.94, 'roll': -0.31, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.093753', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 39, 'pitch': -3.94, 'roll': -0.31, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.103853', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 39, 'pitch': -3.94, 'roll': -0.31, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.113973', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 39, 'pitch': -3.94, 'roll': -0.31, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.124085', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 39, 'pitch': -3.94, 'roll': -0.31, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.134468', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 40, 'pitch': -3.94, 'roll': -0.31, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.144631', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 40, 'pitch': -3.94, 'roll': -0.31, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:32:43.154754', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 40, 'pitch': -3.94, 'roll': -0.31, 'pres': 161}
