{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 379, 'rot0': 389, 'rot3': 212, 'rot2': 192, 'state': 'normal', 'yaw': 43.84, 'datetime': '2018-10-03 16:58:36.197229', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 53, 'pitch': -6.85, 'roll': 0.13, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 16:58:36.219849', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -7.73, 'roll': 0.24, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.12, 'datetime': '2018-10-03 16:58:36.242002', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -7.55, 'roll': 0.18, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.263989', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -7.48, 'roll': 0.25, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.273863', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -7.47, 'roll': 0.26, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.13, 'datetime': '2018-10-03 16:58:36.285308', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -7.37, 'roll': 0.3, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.295089', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 1, 'pitch': -7.28, 'roll': 0.36, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.304697', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 1, 'pitch': -7.3, 'roll': 0.36, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.314408', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -7.31, 'roll': 0.36, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.324031', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 2, 'pitch': -7.36, 'roll': 0.4, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.333727', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 2, 'pitch': -7.44, 'roll': 0.41, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.343363', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 2, 'pitch': -7.5, 'roll': 0.4, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.352920', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 2, 'pitch': -7.5, 'roll': 0.42, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 16:58:36.362541', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 2, 'pitch': -7.5, 'roll': 0.49, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.13, 'lipoC3S3': 12.04, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.2, 'datetime': '2018-10-03 16:58:36.374115', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 2, 'pitch': -7.5, 'roll': 0.51, 'pres': 208}
