{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.31, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 13, 'rot0': 11, 'rot3': 50, 'rot2': 41, 'state': 'normal', 'yaw': -6.86, 'datetime': '2018-10-03 16:37:23.342956', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 58, 'pitch': -1.81, 'roll': 4.29, 'pres': 183}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-03 16:37:23.366379', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 1, 'pitch': -8.53, 'roll': 2.11, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.12, 'datetime': '2018-10-03 16:37:23.389381', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 1, 'pitch': -9.12, 'roll': 2.07, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.1, 'datetime': '2018-10-03 16:37:23.405375', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 1, 'pitch': -9.57, 'roll': 2.16, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.03, 'temp': 26.25, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.07, 'datetime': '2018-10-03 16:37:23.415454', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 1, 'pitch': -9.86, 'roll': 2.34, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.12, 'datetime': '2018-10-03 16:37:23.425475', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 1, 'pitch': -9.79, 'roll': 2.45, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.1, 'datetime': '2018-10-03 16:37:23.435555', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 1, 'pitch': -9.56, 'roll': 2.42, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-03 16:37:23.445495', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 1, 'pitch': -9.38, 'roll': 2.29, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.31, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.16, 'datetime': '2018-10-03 16:37:23.455473', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 1, 'pitch': -9.41, 'roll': 1.96, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.31, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.41, 'datetime': '2018-10-03 16:37:23.464861', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 2, 'pitch': -9.43, 'roll': 1.56, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.31, 'lipoC3S3': 12.21, 'lipoC3S2': 8.08, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.68, 'datetime': '2018-10-03 16:37:23.474361', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 2, 'pitch': -9.3, 'roll': 1.17, 'pres': 187}
