{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.79, 'lipoC3S2': 7.76, 'rot1': 800, 'rot0': 831, 'rot3': 1264, 'rot2': 1309, 'state': 'normal', 'yaw': 9.63, 'datetime': '2018-10-03 17:38:22.455821', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 491, 'pitch': -11.49, 'roll': -85.28, 'pres': 181}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 17:38:22.478026', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 1, 'pitch': -7.55, 'roll': -85.2, 'pres': 183}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:38:22.499665', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 1, 'pitch': -7.23, 'roll': -85.28, 'pres': 184}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.05, 'datetime': '2018-10-03 17:38:22.521138', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 1, 'pitch': -6.94, 'roll': -85.37, 'pres': 184}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.07, 'datetime': '2018-10-03 17:38:22.531818', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 1, 'pitch': -6.68, 'roll': -85.46, 'pres': 184}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.56, 'lipoC3S3': 11.81, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.1, 'datetime': '2018-10-03 17:38:22.541117', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 1, 'pitch': -6.4, 'roll': -85.56, 'pres': 184}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.44, 'lipoC3S3': 11.81, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-03 17:38:22.550407', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 1, 'pitch': -6.17, 'roll': -85.66, 'pres': 185}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.44, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.18, 'datetime': '2018-10-03 17:38:22.559700', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 1, 'pitch': -5.95, 'roll': -85.75, 'pres': 186}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.19, 'datetime': '2018-10-03 17:38:22.568979', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 1, 'pitch': -5.73, 'roll': -85.79, 'pres': 186}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.21, 'datetime': '2018-10-03 17:38:22.578277', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 2, 'pitch': -5.55, 'roll': -85.8, 'pres': 186}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.22, 'datetime': '2018-10-03 17:38:22.587644', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 2, 'pitch': -5.39, 'roll': -85.79, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.24, 'datetime': '2018-10-03 17:38:22.596918', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 2, 'pitch': -5.24, 'roll': -85.72, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.24, 'datetime': '2018-10-03 17:38:22.606206', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 2, 'pitch': -5.09, 'roll': -85.62, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.31, 'datetime': '2018-10-03 17:38:22.651350', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 2, 'pitch': -4.97, 'roll': -85.55, 'pres': 188}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.43, 'datetime': '2018-10-03 17:38:22.755152', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 2, 'pitch': -4.87, 'roll': -85.47, 'pres': 189}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.44, 'lipoC3S3': 11.81, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.57, 'datetime': '2018-10-03 17:38:22.858269', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 2, 'pitch': -4.78, 'roll': -85.38, 'pres': 189}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.44, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.66, 'datetime': '2018-10-03 17:38:22.962627', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 2, 'pitch': -4.7, 'roll': -85.29, 'pres': 189}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.66, 'datetime': '2018-10-03 17:38:23.066117', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 2, 'pitch': -4.62, 'roll': -85.24, 'pres': 190}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.66, 'datetime': '2018-10-03 17:38:23.169272', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 3, 'pitch': -4.54, 'roll': -85.21, 'pres': 191}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.5, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.57, 'datetime': '2018-10-03 17:38:23.278235', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 3, 'pitch': -4.46, 'roll': -85.22, 'pres': 191}
{'lipoC2': 0.0, 'lipoC3S1': 3.9, 'temp': 26.44, 'lipoC3S3': 11.8, 'lipoC3S2': 7.8, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.52, 'datetime': '2018-10-03 17:38:23.383641', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 3, 'pitch': -4.37, 'roll': -85.21, 'pres': 191}
