{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 25.94, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.55, 'datetime': '2018-10-03 18:01:27.545508', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 41, 'pitch': -11.83, 'roll': 0.41, 'pres': 185}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 25.94, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.44, 'datetime': '2018-10-03 18:01:27.577113', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 41, 'pitch': -12.16, 'roll': 0.39, 'pres': 185}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 25.94, 'lipoC3S3': 11.96, 'lipoC3S2': 7.92, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.33, 'datetime': '2018-10-03 18:01:27.606418', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 41, 'pitch': -12.34, 'roll': 0.37, 'pres': 185}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 25.94, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.22, 'datetime': '2018-10-03 18:01:27.620696', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 41, 'pitch': -12.31, 'roll': 0.34, 'pres': 186}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 25.94, 'lipoC3S3': 11.97, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.12, 'datetime': '2018-10-03 18:01:27.632846', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 41, 'pitch': -11.98, 'roll': 0.33, 'pres': 186}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 25.94, 'lipoC3S3': 12.02, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.05, 'datetime': '2018-10-03 18:01:27.643143', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 41, 'pitch': -11.47, 'roll': 0.4, 'pres': 186}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 25.94, 'lipoC3S3': 11.97, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.04, 'datetime': '2018-10-03 18:01:27.656652', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 42, 'pitch': -11.03, 'roll': 0.55, 'pres': 186}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 25.94, 'lipoC3S3': 11.97, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.04, 'datetime': '2018-10-03 18:01:27.670143', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 42, 'pitch': -10.73, 'roll': 0.74, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 25.94, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.03, 'datetime': '2018-10-03 18:01:27.683892', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 42, 'pitch': -10.56, 'roll': 0.97, 'pres': 187}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.0, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 264, 'rot0': 260, 'rot3': 164, 'rot2': 143, 'state': 'normal', 'yaw': -3.03, 'datetime': '2018-10-03 18:01:27.697428', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 42, 'pitch': -10.39, 'roll': 1.19, 'pres': 188}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.0, 'lipoC3S3': 11.97, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 18:01:27.710398', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 1, 'pitch': -9.68, 'roll': 0.95, 'pres': 192}
