{'lipoC2': 7.25, 'lipoC3S1': 3.77, 'temp': 30.63, 'lipoC3S3': 11.39, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 23:56:04.450463', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': 3.32, 'roll': -0.43, 'pres': 172}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.2, 'datetime': '2018-10-09 23:56:08.979952', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': 2.44, 'roll': -0.08, 'pres': 171}
{'lipoC2': 7.26, 'lipoC3S1': 3.77, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.15, 'datetime': '2018-10-09 23:56:12.035314', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': 1.95, 'roll': 0.24, 'pres': 171}
{'lipoC2': 7.26, 'lipoC3S1': 3.77, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.13, 'datetime': '2018-10-09 23:56:12.073767', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': 2.04, 'roll': 0.43, 'pres': 171}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.65, 'datetime': '2018-10-09 23:56:12.094585', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': 2.92, 'roll': 0.41, 'pres': 171}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.23, 'datetime': '2018-10-09 23:56:12.115448', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': 3.98, 'roll': 0.19, 'pres': 170}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.63, 'datetime': '2018-10-09 23:56:12.134894', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': 4.28, 'roll': -0.13, 'pres': 170}
{'lipoC2': 7.26, 'lipoC3S1': 3.77, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 23:56:12.148488', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 1, 'pitch': 6.73, 'roll': 0.15, 'pres': 173}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.04, 'datetime': '2018-10-09 23:56:12.167989', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 1, 'pitch': 8.16, 'roll': -0.08, 'pres': 173}
{'lipoC2': 7.25, 'lipoC3S1': 3.77, 'temp': 30.56, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.22, 'datetime': '2018-10-09 23:56:12.187434', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 1, 'pitch': 8.52, 'roll': 0.02, 'pres': 174}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.56, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.45, 'datetime': '2018-10-09 23:56:12.199877', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 1, 'pitch': 7.99, 'roll': 0.46, 'pres': 173}
{'lipoC2': 7.25, 'lipoC3S1': 3.77, 'temp': 30.56, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.72, 'datetime': '2018-10-09 23:56:12.217308', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 1, 'pitch': 6.98, 'roll': 1.06, 'pres': 174}
{'lipoC2': 7.25, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.06, 'datetime': '2018-10-09 23:56:12.236601', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 1, 'pitch': 5.82, 'roll': 1.53, 'pres': 174}
{'lipoC2': 7.26, 'lipoC3S1': 3.77, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.83, 'datetime': '2018-10-09 23:56:12.250189', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 1, 'pitch': 5.21, 'roll': 1.64, 'pres': 174}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.98, 'datetime': '2018-10-09 23:56:12.269868', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': 5.29, 'roll': 1.44, 'pres': 175}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.04, 'datetime': '2018-10-09 23:56:12.290442', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': 5.43, 'roll': 1.19, 'pres': 175}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.96, 'datetime': '2018-10-09 23:56:12.304085', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': 5.38, 'roll': 1.13, 'pres': 175}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 5.68, 'datetime': '2018-10-09 23:56:12.321359', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 2, 'pitch': 5.36, 'roll': 1.4, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.21, 'datetime': '2018-10-09 23:56:12.340734', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 2, 'pitch': 5.55, 'roll': 1.85, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 3.77, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.27, 'datetime': '2018-10-09 23:56:12.354434', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 2, 'pitch': 6.01, 'roll': 2.19, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 5.7, 'datetime': '2018-10-09 23:56:12.374136', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 2, 'pitch': 6.59, 'roll': 2.24, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.58, 'datetime': '2018-10-09 23:56:12.393569', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 2, 'pitch': 6.99, 'roll': 2.19, 'pres': 177}
{'lipoC2': 7.25, 'lipoC3S1': 3.77, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.19, 'datetime': '2018-10-09 23:56:12.408296', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 2, 'pitch': 7.06, 'roll': 2.06, 'pres': 177}
{'lipoC2': 7.26, 'lipoC3S1': 3.77, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.64, 'datetime': '2018-10-09 23:56:12.425955', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 2, 'pitch': 6.53, 'roll': 1.91, 'pres': 178}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.4, 'datetime': '2018-10-09 23:56:12.445233', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 3, 'pitch': 5.8, 'roll': 1.9, 'pres': 178}
{'lipoC2': 7.25, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.52, 'datetime': '2018-10-09 23:56:12.458849', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 3, 'pitch': 5.25, 'roll': 1.91, 'pres': 179}
{'lipoC2': 7.25, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.09, 'datetime': '2018-10-09 23:56:12.478338', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 3, 'pitch': 5.22, 'roll': 1.83, 'pres': 179}
{'lipoC2': 7.25, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.33, 'datetime': '2018-10-09 23:56:12.497857', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 3, 'pitch': 5.86, 'roll': 1.62, 'pres': 179}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.39, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.64, 'datetime': '2018-10-09 23:56:12.511999', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 3, 'pitch': 6.56, 'roll': 1.34, 'pres': 179}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.25, 'datetime': '2018-10-09 23:56:12.528957', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 3, 'pitch': 6.61, 'roll': 1.13, 'pres': 180}
{'lipoC2': 7.26, 'lipoC3S1': 3.78, 'temp': 30.63, 'lipoC3S3': 11.4, 'lipoC3S2': 7.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.07, 'datetime': '2018-10-09 23:56:12.548506', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 3, 'pitch': 5.88, 'roll': 1.09, 'pres': 180}
