{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.88, 'lipoC3S2': 7.85, 'rot1': 315, 'rot0': 314, 'rot3': 189, 'rot2': 171, 'state': 'normal', 'yaw': -9.73, 'datetime': '2018-10-03 17:29:35.886282', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 57, 'pitch': -13.98, 'roll': 2.45, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.87, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.02, 'datetime': '2018-10-03 17:29:35.918958', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -9.18, 'roll': 0.32, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.87, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.21, 'datetime': '2018-10-03 17:29:35.931840', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -8.87, 'roll': 0.26, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.87, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.4, 'datetime': '2018-10-03 17:29:35.942953', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -8.62, 'roll': 0.24, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.87, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.6, 'datetime': '2018-10-03 17:29:35.952447', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -8.38, 'roll': 0.24, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.87, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.84, 'datetime': '2018-10-03 17:29:35.961881', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -8.07, 'roll': 0.21, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.5, 'lipoC3S3': 11.88, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.08, 'datetime': '2018-10-03 17:29:35.971384', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 1, 'pitch': -7.78, 'roll': 0.16, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.5, 'lipoC3S3': 11.87, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.32, 'datetime': '2018-10-03 17:29:35.981191', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -7.53, 'roll': 0.15, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.88, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.49, 'datetime': '2018-10-03 17:29:35.990723', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -7.33, 'roll': 0.12, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.88, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.62, 'datetime': '2018-10-03 17:29:36.000235', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -7.19, 'roll': 0.09, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.93, 'temp': 26.44, 'lipoC3S3': 11.88, 'lipoC3S2': 7.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.74, 'datetime': '2018-10-03 17:29:36.009717', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 2, 'pitch': -7.15, 'roll': 0.08, 'pres': 209}
