{'lipoC2': 0.02, 'lipoC3S1': 3.97, 'temp': 26.06, 'lipoC3S3': 12.06, 'lipoC3S2': 7.96, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.56, 'datetime': '2018-10-03 18:01:43.538654', 'mgs': 0, 'volt': 0.9668, 'depth': 2.606, 'time': 12, 'pitch': -6.44, 'roll': 1.32, 'pres': 198}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.06, 'lipoC3S3': 12.04, 'lipoC3S2': 7.95, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.56, 'datetime': '2018-10-03 18:01:43.560806', 'mgs': 0, 'volt': 0.9668, 'depth': 2.606, 'time': 12, 'pitch': -6.4, 'roll': 1.18, 'pres': 198}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 25.94, 'lipoC3S3': 12.05, 'lipoC3S2': 7.95, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.57, 'datetime': '2018-10-03 18:01:43.582821', 'mgs': 0, 'volt': 0.9668, 'depth': 2.606, 'time': 12, 'pitch': -6.4, 'roll': 1.03, 'pres': 198}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 25.94, 'lipoC3S3': 12.04, 'lipoC3S2': 7.97, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.57, 'datetime': '2018-10-03 18:01:43.604684', 'mgs': 0, 'volt': 0.9766, 'depth': 2.759, 'time': 12, 'pitch': -6.45, 'roll': 0.91, 'pres': 200}
{'lipoC2': 0.04, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 12.04, 'lipoC3S2': 7.95, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.57, 'datetime': '2018-10-03 18:01:43.618365', 'mgs': 0, 'volt': 0.9668, 'depth': 2.606, 'time': 12, 'pitch': -6.6, 'roll': 0.81, 'pres': 198}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.06, 'lipoC3S3': 12.04, 'lipoC3S2': 7.95, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.58, 'datetime': '2018-10-03 18:01:43.627866', 'mgs': 0, 'volt': 0.9717, 'depth': 2.682, 'time': 12, 'pitch': -6.81, 'roll': 0.72, 'pres': 199}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.06, 'lipoC3S3': 12.02, 'lipoC3S2': 7.96, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.59, 'datetime': '2018-10-03 18:01:43.637437', 'mgs': 0, 'volt': 0.9668, 'depth': 2.606, 'time': 13, 'pitch': -7.02, 'roll': 0.69, 'pres': 198}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.06, 'lipoC3S3': 12.02, 'lipoC3S2': 7.95, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.6, 'datetime': '2018-10-03 18:01:43.646951', 'mgs': 0, 'volt': 0.9717, 'depth': 2.682, 'time': 13, 'pitch': -7.21, 'roll': 0.69, 'pres': 199}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.06, 'lipoC3S3': 12.02, 'lipoC3S2': 7.95, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.61, 'datetime': '2018-10-03 18:01:43.656485', 'mgs': 0, 'volt': 0.9717, 'depth': 2.682, 'time': 13, 'pitch': -7.35, 'roll': 0.68, 'pres': 199}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.06, 'lipoC3S3': 12.04, 'lipoC3S2': 7.96, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 10, 'state': 'normal', 'yaw': -3.61, 'datetime': '2018-10-03 18:01:43.666001', 'mgs': 0, 'volt': 0.9766, 'depth': 2.759, 'time': 13, 'pitch': -7.39, 'roll': 0.69, 'pres': 200}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.06, 'lipoC3S3': 12.05, 'lipoC3S2': 7.96, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-03 18:01:43.675399', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 1, 'pitch': -7.11, 'roll': 1.02, 'pres': 204}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 26.06, 'lipoC3S3': 12.05, 'lipoC3S2': 7.96, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.09, 'datetime': '2018-10-03 18:01:43.684801', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 1, 'pitch': -7.11, 'roll': 1.03, 'pres': 205}
{'lipoC2': 0.0, 'lipoC3S1': 3.98, 'temp': 26.0, 'lipoC3S3': 12.04, 'lipoC3S2': 7.96, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.14, 'datetime': '2018-10-03 18:01:43.694149', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 1, 'pitch': -7.11, 'roll': 1.03, 'pres': 205}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.0, 'lipoC3S3': 12.12, 'lipoC3S2': 7.96, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.16, 'datetime': '2018-10-03 18:01:43.703501', 'mgs': 0, 'volt': 1.0059, 'depth': 3.217, 'time': 1, 'pitch': -7.11, 'roll': 1.02, 'pres': 206}
{'lipoC2': 0.0, 'lipoC3S1': 3.97, 'temp': 26.0, 'lipoC3S3': 11.98, 'lipoC3S2': 7.96, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.16, 'datetime': '2018-10-03 18:01:43.713657', 'mgs': 0, 'volt': 1.0059, 'depth': 3.217, 'time': 1, 'pitch': -7.16, 'roll': 0.96, 'pres': 206}
