{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.764268', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 7, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.774453', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 7, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.784378', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 7, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.794607', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 7, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.804906', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 8, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.814617', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 8, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.824317', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 8, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.834061', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 8, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.843957', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 8, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.853708', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 8, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
