{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 23:38:30.500990', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -1.42, 'roll': 2.1, 'pres': 175}
{'lipoC2': 7.32, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.25, 'datetime': '2018-10-09 23:38:30.522657', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -2.62, 'roll': 1.92, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.25, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.58, 'datetime': '2018-10-09 23:38:30.538468', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -3.89, 'roll': 1.59, 'pres': 175}
{'lipoC2': 7.32, 'lipoC3S1': 3.85, 'temp': 30.25, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.14, 'datetime': '2018-10-09 23:38:30.548003', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -4.85, 'roll': 1.34, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.25, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.8, 'datetime': '2018-10-09 23:38:30.557492', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -5.32, 'roll': 1.32, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.5, 'datetime': '2018-10-09 23:38:30.566990', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -5.46, 'roll': 1.54, 'pres': 175}
{'lipoC2': 7.32, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.99, 'datetime': '2018-10-09 23:38:30.576508', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -5.51, 'roll': 1.81, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.13, 'lipoC3S3': 11.63, 'lipoC3S2': 7.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.29, 'datetime': '2018-10-09 23:38:30.585950', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -5.63, 'roll': 1.91, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.13, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.48, 'datetime': '2018-10-09 23:38:30.595373', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -5.57, 'roll': 1.8, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.31, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.63, 'datetime': '2018-10-09 23:38:30.604791', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 2, 'pitch': -5.23, 'roll': 1.54, 'pres': 176}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.31, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.79, 'datetime': '2018-10-09 23:38:30.614228', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -4.8, 'roll': 1.22, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.31, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.91, 'datetime': '2018-10-09 23:38:30.623622', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -4.62, 'roll': 0.88, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.92, 'datetime': '2018-10-09 23:38:30.633029', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 2, 'pitch': -4.66, 'roll': 0.63, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.77, 'datetime': '2018-10-09 23:38:30.642466', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 2, 'pitch': -4.75, 'roll': 0.43, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.4, 'datetime': '2018-10-09 23:38:30.652112', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 2, 'pitch': -5.09, 'roll': 0.12, 'pres': 173}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.07, 'datetime': '2018-10-09 23:38:30.661665', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 2, 'pitch': -5.72, 'roll': -0.04, 'pres': 173}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.25, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.7, 'datetime': '2018-10-09 23:38:30.671138', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 2, 'pitch': -6.37, 'roll': 0.02, 'pres': 173}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.25, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.2, 'datetime': '2018-10-09 23:38:30.680570', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 3, 'pitch': -6.84, 'roll': 0.3, 'pres': 172}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.25, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.78, 'datetime': '2018-10-09 23:38:30.689993', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 3, 'pitch': -6.85, 'roll': 0.81, 'pres': 171}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.46, 'datetime': '2018-10-09 23:38:30.760621', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 3, 'pitch': -6.63, 'roll': 1.39, 'pres': 171}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.09, 'datetime': '2018-10-09 23:38:30.863905', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 3, 'pitch': -6.35, 'roll': 1.72, 'pres': 171}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.13, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.75, 'datetime': '2018-10-09 23:38:30.967092', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 3, 'pitch': -6.06, 'roll': 1.7, 'pres': 170}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.13, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.47, 'datetime': '2018-10-09 23:38:31.070321', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 3, 'pitch': -5.75, 'roll': 1.6, 'pres': 170}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.44, 'datetime': '2018-10-09 23:38:31.174204', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 3, 'pitch': -5.52, 'roll': 1.75, 'pres': 170}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.64, 'datetime': '2018-10-09 23:38:31.278075', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 3, 'pitch': -5.66, 'roll': 2.27, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.69, 'datetime': '2018-10-09 23:38:31.385413', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 3, 'pitch': -5.94, 'roll': 2.8, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.76, 'datetime': '2018-10-09 23:38:31.489516', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 3, 'pitch': -5.86, 'roll': 3.47, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.19, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.66, 'datetime': '2018-10-09 23:38:31.594018', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 4, 'pitch': -5.16, 'roll': 4.24, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.85, 'temp': 30.25, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.45, 'datetime': '2018-10-09 23:38:31.697185', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 4, 'pitch': -3.86, 'roll': 4.71, 'pres': 168}
