{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:27.940172', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 12, 'pitch': -3.69, 'roll': -0.94, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:30.967805', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 12, 'pitch': -3.69, 'roll': -0.94, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:30.991199', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 12, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.014449', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 12, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.033247', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 12, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.043258', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 12, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.053238', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.063176', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.073109', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.083036', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.092986', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.103303', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.113069', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.122834', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.132792', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.69, 'datetime': '2018-10-09 20:34:31.142607', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 13, 'pitch': -3.69, 'roll': -0.94, 'pres': 161}
