{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.64, 'datetime': '2018-10-05 19:47:10.144581', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 80, 'pitch': -29.39, 'roll': 19.96, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.64, 'datetime': '2018-10-05 19:47:10.170024', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 80, 'pitch': -29.39, 'roll': 19.96, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.64, 'datetime': '2018-10-05 19:47:10.196899', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 80, 'pitch': -29.39, 'roll': 19.96, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.64, 'datetime': '2018-10-05 19:47:10.220751', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 80, 'pitch': -29.39, 'roll': 19.96, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.84, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.64, 'datetime': '2018-10-05 19:47:10.244648', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.37, 'roll': 19.99, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.84, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.66, 'datetime': '2018-10-05 19:47:10.262502', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.32, 'roll': 19.99, 'pres': 205}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.67, 'datetime': '2018-10-05 19:47:10.273038', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.3, 'roll': 20.0, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.67, 'datetime': '2018-10-05 19:47:10.284167', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.3, 'roll': 20.0, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.67, 'datetime': '2018-10-05 19:47:10.294909', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.3, 'roll': 20.0, 'pres': 205}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.67, 'datetime': '2018-10-05 19:47:10.305179', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.31, 'roll': 20.0, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.63, 'datetime': '2018-10-05 19:47:10.315312', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.4, 'roll': 20.01, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.59, 'datetime': '2018-10-05 19:47:10.325487', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.49, 'roll': 20.04, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.55, 'datetime': '2018-10-05 19:47:10.335493', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.59, 'roll': 20.05, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.54, 'datetime': '2018-10-05 19:47:10.345652', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 81, 'pitch': -29.67, 'roll': 20.06, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.51, 'datetime': '2018-10-05 19:47:10.355945', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 82, 'pitch': -29.72, 'roll': 20.07, 'pres': 204}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.52, 'datetime': '2018-10-05 19:47:10.366228', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 82, 'pitch': -29.73, 'roll': 20.07, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.52, 'datetime': '2018-10-05 19:47:10.376574', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 82, 'pitch': -29.73, 'roll': 20.07, 'pres': 205}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.52, 'datetime': '2018-10-05 19:47:10.387707', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 82, 'pitch': -29.73, 'roll': 20.07, 'pres': 204}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.52, 'datetime': '2018-10-05 19:47:10.398490', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 82, 'pitch': -29.71, 'roll': 20.07, 'pres': 204}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.54, 'datetime': '2018-10-05 19:47:10.408685', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 82, 'pitch': -29.66, 'roll': 20.11, 'pres': 204}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.58, 'datetime': '2018-10-05 19:47:10.501548', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 82, 'pitch': -29.58, 'roll': 20.14, 'pres': 205}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.38, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.62, 'datetime': '2018-10-05 19:47:10.605751', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 82, 'pitch': -29.49, 'roll': 20.16, 'pres': 205}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.38, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.63, 'datetime': '2018-10-05 19:47:10.709981', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 82, 'pitch': -29.44, 'roll': 20.18, 'pres': 205}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.63, 'datetime': '2018-10-05 19:47:10.815024', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 83, 'pitch': -29.44, 'roll': 20.18, 'pres': 204}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.63, 'datetime': '2018-10-05 19:47:10.919285', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 83, 'pitch': -29.44, 'roll': 20.18, 'pres': 204}
{'lipoC2': 7.83, 'lipoC3S1': 3.92, 'temp': 28.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.63, 'datetime': '2018-10-05 19:47:11.028814', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 83, 'pitch': -29.44, 'roll': 20.18, 'pres': 204}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.44, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.63, 'datetime': '2018-10-05 19:47:11.133258', 'mgs': 0, 'volt': 0.9961, 'depth': 3.064, 'time': 83, 'pitch': -29.44, 'roll': 20.18, 'pres': 204}
{'lipoC2': 7.82, 'lipoC3S1': 3.92, 'temp': 28.44, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 289, 'rot0': 273, 'rot3': 227, 'rot2': 183, 'state': 'normal', 'yaw': 20.63, 'datetime': '2018-10-05 19:47:11.238424', 'mgs': 0, 'volt': 1.001, 'depth': 3.14, 'time': 83, 'pitch': -29.46, 'roll': 20.18, 'pres': 205}
