{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.69, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-05 14:46:57.852369', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': 73.23, 'roll': -82.57, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.69, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-05 14:47:03.893051', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': 73.23, 'roll': -82.57, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.69, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-05 14:47:03.917005', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': 73.23, 'roll': -82.57, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.69, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-05 14:47:03.932481', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': 73.23, 'roll': -82.57, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.69, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-05 14:47:03.948281', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': 73.23, 'roll': -82.57, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.63, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-05 14:47:03.963404', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': 73.23, 'roll': -82.57, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.63, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-05 14:47:03.979075', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': 73.23, 'roll': -82.57, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.63, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-05 14:47:03.994724', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': 73.23, 'roll': -82.57, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.63, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 14:47:04.010118', 'mgs': 1, 'volt': 0.7861, 'depth': -0.217, 'time': 1, 'pitch': 73.21, 'roll': -82.52, 'pres': 161}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.63, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 14:47:04.025745', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': 73.21, 'roll': -82.52, 'pres': 160}
{'lipoC2': 8.1, 'lipoC3S1': 3.98, 'temp': 25.63, 'lipoC3S3': 12.08, 'lipoC3S2': 7.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 14:47:04.041129', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': 73.21, 'roll': -82.52, 'pres': 160}
