{'lipoC2': 7.48, 'lipoC3S1': 4.12, 'temp': 30.56, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.68, 'datetime': '2018-10-09 12:34:33.992704', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 1, 'pitch': 10.85, 'roll': -12.25, 'pres': 192}
{'lipoC2': 7.49, 'lipoC3S1': 4.12, 'temp': 30.56, 'lipoC3S3': 12.45, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.94, 'datetime': '2018-10-09 12:34:34.014535', 'mgs': 0, 'volt': 0.9424, 'depth': 2.225, 'time': 1, 'pitch': 8.06, 'roll': -9.28, 'pres': 193}
{'lipoC2': 7.48, 'lipoC3S1': 4.12, 'temp': 30.56, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.04, 'datetime': '2018-10-09 12:34:34.036692', 'mgs': 0, 'volt': 0.9424, 'depth': 2.225, 'time': 1, 'pitch': 5.72, 'roll': -7.0, 'pres': 193}
{'lipoC2': 7.48, 'lipoC3S1': 4.12, 'temp': 30.56, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.1, 'datetime': '2018-10-09 12:34:34.052011', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 1, 'pitch': 3.44, 'roll': -5.1, 'pres': 194}
{'lipoC2': 7.49, 'lipoC3S1': 4.12, 'temp': 30.5, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.1, 'datetime': '2018-10-09 12:34:34.061686', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 1, 'pitch': 1.74, 'roll': -3.86, 'pres': 194}
{'lipoC2': 7.49, 'lipoC3S1': 4.12, 'temp': 30.5, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.05, 'datetime': '2018-10-09 12:34:34.071503', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 1, 'pitch': 0.58, 'roll': -3.14, 'pres': 194}
{'lipoC2': 7.49, 'lipoC3S1': 4.12, 'temp': 30.5, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.95, 'datetime': '2018-10-09 12:34:34.081109', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 1, 'pitch': -0.18, 'roll': -2.66, 'pres': 194}
{'lipoC2': 7.48, 'lipoC3S1': 4.12, 'temp': 30.5, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.8, 'datetime': '2018-10-09 12:34:34.090732', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 2, 'pitch': -0.5, 'roll': -2.31, 'pres': 194}
{'lipoC2': 7.48, 'lipoC3S1': 4.12, 'temp': 30.5, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.62, 'datetime': '2018-10-09 12:34:34.100342', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 2, 'pitch': -0.61, 'roll': -2.05, 'pres': 194}
{'lipoC2': 7.48, 'lipoC3S1': 4.12, 'temp': 30.5, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.42, 'datetime': '2018-10-09 12:34:34.109918', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 2, 'pitch': -0.51, 'roll': -1.92, 'pres': 194}
{'lipoC2': 7.49, 'lipoC3S1': 4.12, 'temp': 30.5, 'lipoC3S3': 12.46, 'lipoC3S2': 8.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.25, 'datetime': '2018-10-09 12:34:34.167421', 'mgs': 0, 'volt': 0.9521, 'depth': 2.377, 'time': 2, 'pitch': -0.23, 'roll': -1.95, 'pres': 195}
