{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.05, 'datetime': '2018-10-09 20:04:51.195606', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': 3.41, 'roll': -3.53, 'pres': 170}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.41, 'datetime': '2018-10-09 20:04:54.222827', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': 3.09, 'roll': -3.58, 'pres': 169}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.7, 'datetime': '2018-10-09 20:04:57.265016', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': 2.86, 'roll': -3.51, 'pres': 169}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.9, 'datetime': '2018-10-09 20:04:57.295273', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': 2.62, 'roll': -3.24, 'pres': 169}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.78, 'datetime': '2018-10-09 20:04:57.325258', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': 2.36, 'roll': -2.78, 'pres': 169}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.63, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.51, 'datetime': '2018-10-09 20:04:57.355271', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': 2.06, 'roll': -2.22, 'pres': 170}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.13, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.18, 'datetime': '2018-10-09 20:04:57.375392', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': 1.72, 'roll': -1.68, 'pres': 170}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.13, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.09, 'datetime': '2018-10-09 20:04:57.391295', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 2, 'pitch': 1.46, 'roll': -1.29, 'pres': 170}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.14, 'datetime': '2018-10-09 20:04:57.407109', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': 1.16, 'roll': -1.12, 'pres': 171}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.08, 'datetime': '2018-10-09 20:04:57.423024', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': 0.76, 'roll': -1.1, 'pres': 171}
{'lipoC2': 7.33, 'lipoC3S1': 3.84, 'temp': 27.06, 'lipoC3S3': 11.61, 'lipoC3S2': 7.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.13, 'datetime': '2018-10-09 20:04:57.438884', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': 0.32, 'roll': -1.23, 'pres': 171}
