{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.75, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 23:15:32.783213', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 1, 'pitch': 5.35, 'roll': 6.57, 'pres': 182}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.75, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.86, 'datetime': '2018-10-09 23:15:32.806250', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 1, 'pitch': 4.67, 'roll': 6.79, 'pres': 181}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.69, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.93, 'datetime': '2018-10-09 23:15:32.824390', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 1, 'pitch': 3.55, 'roll': 6.83, 'pres': 181}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.69, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.73, 'datetime': '2018-10-09 23:15:32.834396', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 1, 'pitch': 2.75, 'roll': 6.56, 'pres': 181}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.69, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.13, 'datetime': '2018-10-09 23:15:32.844311', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 1, 'pitch': 3.21, 'roll': 5.82, 'pres': 180}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.75, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.1, 'datetime': '2018-10-09 23:15:32.854240', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 1, 'pitch': 4.4, 'roll': 4.92, 'pres': 180}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.75, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -9.2, 'datetime': '2018-10-09 23:15:32.864134', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 1, 'pitch': 5.55, 'roll': 3.91, 'pres': 180}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.75, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -10.73, 'datetime': '2018-10-09 23:15:32.874065', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 1, 'pitch': 6.38, 'roll': 2.82, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.75, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -12.36, 'datetime': '2018-10-09 23:15:32.883983', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 2, 'pitch': 6.6, 'roll': 1.93, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.75, 'lipoC3S3': 11.93, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -14.12, 'datetime': '2018-10-09 23:15:32.893859', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 2, 'pitch': 6.41, 'roll': 1.22, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.95, 'temp': 29.75, 'lipoC3S3': 11.93, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -16.33, 'datetime': '2018-10-09 23:15:32.903717', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 2, 'pitch': 6.14, 'roll': 0.81, 'pres': 179}
