{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.81, 'datetime': '2018-10-10 00:17:56.269267', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -0.82, 'roll': -0.61, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.06, 'datetime': '2018-10-10 00:17:56.280603', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -1.35, 'roll': -0.15, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.33, 'datetime': '2018-10-10 00:17:56.290249', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -1.81, 'roll': 0.2, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.71, 'datetime': '2018-10-10 00:17:56.300526', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -2.19, 'roll': 0.25, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.13, 'datetime': '2018-10-10 00:17:56.310089', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -2.27, 'roll': 0.07, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.5, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.62, 'datetime': '2018-10-10 00:17:56.319737', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -2.08, 'roll': -0.11, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.5, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -6.16, 'datetime': '2018-10-10 00:17:56.329278', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 3, 'pitch': -1.76, 'roll': -0.06, 'pres': 176}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -6.84, 'datetime': '2018-10-10 00:17:56.338910', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -1.7, 'roll': 0.29, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.42, 'datetime': '2018-10-10 00:17:56.395762', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -2.2, 'roll': 0.58, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.5, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.88, 'datetime': '2018-10-10 00:17:56.498980', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -2.97, 'roll': 0.62, 'pres': 175}
