{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.63, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 163.75, 'datetime': '2018-10-09 19:52:09.841490', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 32, 'pitch': -3.51, 'roll': -0.09, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 163.39, 'datetime': '2018-10-09 19:52:12.869921', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 32, 'pitch': -3.51, 'roll': 0.04, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 163.09, 'datetime': '2018-10-09 19:52:12.903024', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 32, 'pitch': -3.52, 'roll': 0.17, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.63, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 162.81, 'datetime': '2018-10-09 19:52:12.924384', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 32, 'pitch': -3.51, 'roll': 0.3, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.63, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 162.5, 'datetime': '2018-10-09 19:52:12.940429', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 32, 'pitch': -3.43, 'roll': 0.42, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.63, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 162.22, 'datetime': '2018-10-09 19:52:12.956657', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 32, 'pitch': -3.35, 'roll': 0.5, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.63, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 161.91, 'datetime': '2018-10-09 19:52:12.972547', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 33, 'pitch': -3.29, 'roll': 0.51, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.63, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 161.63, 'datetime': '2018-10-09 19:52:12.988748', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 33, 'pitch': -3.28, 'roll': 0.53, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.63, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 161.36, 'datetime': '2018-10-09 19:52:13.004825', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 33, 'pitch': -3.28, 'roll': 0.5, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.63, 'lipoC3S3': 11.76, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 161.05, 'datetime': '2018-10-09 19:52:13.020860', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 33, 'pitch': -3.28, 'roll': 0.43, 'pres': 184}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 26.69, 'lipoC3S3': 11.76, 'lipoC3S2': 7.78, 'rot1': 120, 'rot0': 118, 'rot3': 53, 'rot2': 52, 'state': 'normal', 'yaw': 160.78, 'datetime': '2018-10-09 19:52:13.037045', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 33, 'pitch': -3.28, 'roll': 0.34, 'pres': 184}
