{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.14, 'datetime': '2018-10-09 13:51:07.514519', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -65.66, 'roll': -73.38, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.08, 'datetime': '2018-10-09 13:51:07.524812', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -65.66, 'roll': -71.91, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -29.98, 'datetime': '2018-10-09 13:51:07.535080', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.06, 'roll': -70.85, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.01, 'datetime': '2018-10-09 13:51:07.546425', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.29, 'roll': -70.5, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.59, 'datetime': '2018-10-09 13:51:07.560222', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.25, 'roll': -70.31, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -31.86, 'datetime': '2018-10-09 13:51:07.571882', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.17, 'roll': -70.04, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -32.88, 'datetime': '2018-10-09 13:51:07.582054', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 418, 'pitch': -66.27, 'roll': -70.2, 'pres': 187}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -33.18, 'datetime': '2018-10-09 13:51:07.592336', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.67, 'roll': -71.2, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -32.95, 'datetime': '2018-10-09 13:51:07.602551', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -67.23, 'roll': -72.59, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -32.58, 'datetime': '2018-10-09 13:51:07.612786', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -67.8, 'roll': -74.14, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -32.95, 'datetime': '2018-10-09 13:51:07.623000', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -68.05, 'roll': -75.21, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -34.32, 'datetime': '2018-10-09 13:51:07.633204', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -67.95, 'roll': -75.32, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -36.6, 'datetime': '2018-10-09 13:51:07.643416', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 419, 'pitch': -67.73, 'roll': -74.75, 'pres': 185}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -39.02, 'datetime': '2018-10-09 13:51:07.655643', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -67.46, 'roll': -73.75, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -41.31, 'datetime': '2018-10-09 13:51:07.666666', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -67.06, 'roll': -72.79, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -42.03, 'datetime': '2018-10-09 13:51:07.677650', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -66.6, 'roll': -72.95, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -41.72, 'datetime': '2018-10-09 13:51:07.687833', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -66.1, 'roll': -73.77, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -40.99, 'datetime': '2018-10-09 13:51:07.698121', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 419, 'pitch': -65.64, 'roll': -74.59, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -39.78, 'datetime': '2018-10-09 13:51:07.775379', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 420, 'pitch': -65.49, 'roll': -75.49, 'pres': 187}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -38.89, 'datetime': '2018-10-09 13:51:07.879518', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 420, 'pitch': -65.54, 'roll': -75.69, 'pres': 187}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -38.25, 'datetime': '2018-10-09 13:51:07.983640', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 420, 'pitch': -65.72, 'roll': -75.43, 'pres': 187}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -37.2, 'datetime': '2018-10-09 13:51:08.088414', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 420, 'pitch': -65.98, 'roll': -75.37, 'pres': 187}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -35.7, 'datetime': '2018-10-09 13:51:08.192523', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 420, 'pitch': -66.27, 'roll': -75.65, 'pres': 188}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -34.21, 'datetime': '2018-10-09 13:51:08.298080', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 420, 'pitch': -66.46, 'roll': -76.08, 'pres': 189}
