{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.16, 'datetime': '2018-10-05 20:11:15.385849', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 80, 'pitch': -13.48, 'roll': 1.4, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.39, 'datetime': '2018-10-05 20:11:15.411135', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 80, 'pitch': -13.44, 'roll': 1.86, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.43, 'datetime': '2018-10-05 20:11:15.436257', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 80, 'pitch': -13.49, 'roll': 2.26, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.4, 'datetime': '2018-10-05 20:11:15.454101', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 80, 'pitch': -13.37, 'roll': 2.52, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.52, 'datetime': '2018-10-05 20:11:15.465488', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 80, 'pitch': -13.26, 'roll': 2.34, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.94, 'datetime': '2018-10-05 20:11:15.476793', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 81, 'pitch': -13.32, 'roll': 1.52, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.22, 'datetime': '2018-10-05 20:11:15.487508', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 81, 'pitch': -13.62, 'roll': 0.51, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.2, 'datetime': '2018-10-05 20:11:15.498064', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 81, 'pitch': -14.08, 'roll': -0.43, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.84, 'datetime': '2018-10-05 20:11:15.508731', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 81, 'pitch': -14.47, 'roll': -1.15, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.57, 'datetime': '2018-10-05 20:11:15.519273', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 81, 'pitch': -14.4, 'roll': -1.62, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.6, 'datetime': '2018-10-05 20:11:15.530002', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 81, 'pitch': -13.91, 'roll': -2.04, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.67, 'datetime': '2018-10-05 20:11:15.540302', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 81, 'pitch': -13.52, 'roll': -2.19, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.59, 'datetime': '2018-10-05 20:11:15.550438', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 81, 'pitch': -13.46, 'roll': -1.96, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.62, 'datetime': '2018-10-05 20:11:15.561133', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 81, 'pitch': -13.64, 'roll': -1.57, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 82.88, 'datetime': '2018-10-05 20:11:15.572173', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 81, 'pitch': -13.64, 'roll': -1.21, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.08, 'datetime': '2018-10-05 20:11:15.582667', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 82, 'pitch': -13.57, 'roll': -0.69, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.08, 'datetime': '2018-10-05 20:11:15.592803', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 82, 'pitch': -13.7, 'roll': -0.12, 'pres': 163}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.16, 'datetime': '2018-10-05 20:11:15.602917', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 82, 'pitch': -13.95, 'roll': 0.32, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.41, 'datetime': '2018-10-05 20:11:15.612869', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 82, 'pitch': -13.95, 'roll': 0.43, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.56, 'datetime': '2018-10-05 20:11:15.622917', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 82, 'pitch': -13.73, 'roll': 0.4, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.44, 'datetime': '2018-10-05 20:11:15.632976', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 82, 'pitch': -13.48, 'roll': 0.37, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.34, 'datetime': '2018-10-05 20:11:15.642903', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 82, 'pitch': -13.31, 'roll': 0.21, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.47, 'datetime': '2018-10-05 20:11:15.653073', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 82, 'pitch': -13.19, 'roll': -0.2, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.58, 'datetime': '2018-10-05 20:11:15.663541', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 82, 'pitch': -13.04, 'roll': -0.54, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.49, 'datetime': '2018-10-05 20:11:15.674842', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 83, 'pitch': -13.01, 'roll': -0.61, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.42, 'datetime': '2018-10-05 20:11:15.685440', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 83, 'pitch': -13.02, 'roll': -0.6, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.58, 'datetime': '2018-10-05 20:11:15.695579', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 83, 'pitch': -13.0, 'roll': -0.66, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.68, 'datetime': '2018-10-05 20:11:15.705703', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 83, 'pitch': -12.96, 'roll': -0.7, 'pres': 164}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.59, 'datetime': '2018-10-05 20:11:15.716006', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 83, 'pitch': -12.93, 'roll': -0.51, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.63, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.59, 'datetime': '2018-10-05 20:11:15.786568', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 83, 'pitch': -12.72, 'roll': -0.22, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.63, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.82, 'datetime': '2018-10-05 20:11:15.890667', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 83, 'pitch': -12.39, 'roll': 0.18, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.63, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 84.01, 'datetime': '2018-10-05 20:11:15.996353', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 83, 'pitch': -12.25, 'roll': 0.73, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.63, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.98, 'datetime': '2018-10-05 20:11:16.100485', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 83, 'pitch': -12.4, 'roll': 1.57, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.63, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.74, 'datetime': '2018-10-05 20:11:16.208387', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 83, 'pitch': -12.64, 'roll': 2.34, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.43, 'datetime': '2018-10-05 20:11:16.312736', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 84, 'pitch': -12.87, 'roll': 2.84, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.4, 'datetime': '2018-10-05 20:11:16.416679', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 84, 'pitch': -13.03, 'roll': 2.77, 'pres': 166}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.58, 'datetime': '2018-10-05 20:11:16.520834', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 84, 'pitch': -13.18, 'roll': 2.27, 'pres': 166}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.7, 'datetime': '2018-10-05 20:11:16.628587', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 84, 'pitch': -13.35, 'roll': 1.57, 'pres': 166}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.64, 'datetime': '2018-10-05 20:11:16.739201', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 84, 'pitch': -13.56, 'roll': 0.98, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.63, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.55, 'datetime': '2018-10-05 20:11:16.839957', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 84, 'pitch': -13.83, 'roll': 0.33, 'pres': 166}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.64, 'datetime': '2018-10-05 20:11:16.944244', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 84, 'pitch': -13.79, 'roll': -0.32, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.84, 'datetime': '2018-10-05 20:11:17.049368', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 84, 'pitch': -13.47, 'roll': -0.92, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.82, 'datetime': '2018-10-05 20:11:17.153514', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 84, 'pitch': -13.28, 'roll': -1.27, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.69, 'datetime': '2018-10-05 20:11:17.258988', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 84, 'pitch': -13.44, 'roll': -1.34, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.73, 'datetime': '2018-10-05 20:11:17.362949', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 85, 'pitch': -13.67, 'roll': -1.3, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.76, 'datetime': '2018-10-05 20:11:17.467177', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 85, 'pitch': -13.77, 'roll': -1.05, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.53, 'datetime': '2018-10-05 20:11:17.571609', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 85, 'pitch': -13.84, 'roll': -0.51, 'pres': 165}
{'lipoC2': 7.73, 'lipoC3S1': 3.85, 'temp': 28.56, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 310, 'rot0': 359, 'rot3': 283, 'rot2': 223, 'state': 'normal', 'yaw': 83.38, 'datetime': '2018-10-05 20:11:17.675425', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 85, 'pitch': -13.95, 'roll': -0.12, 'pres': 165}
