{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 273, 'rot0': 252, 'rot3': 180, 'rot2': 153, 'state': 'normal', 'yaw': -46.61, 'datetime': '2018-10-03 16:57:08.926190', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 911, 'pitch': 32.02, 'roll': -153.88, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.44, 'datetime': '2018-10-03 16:57:08.948180', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 43.59, 'roll': -61.73, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 12.54, 'datetime': '2018-10-03 16:57:08.965530', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 35.58, 'roll': -44.12, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 18.77, 'datetime': '2018-10-03 16:57:08.975003', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 27.06, 'roll': -31.78, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 22.02, 'datetime': '2018-10-03 16:57:08.984447', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 19.45, 'roll': -23.09, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 23.71, 'datetime': '2018-10-03 16:57:08.993857', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 12.68, 'roll': -16.31, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.3, 'datetime': '2018-10-03 16:57:09.085697', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 7.97, 'roll': -11.88, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.45, 'datetime': '2018-10-03 16:57:09.188856', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 4.34, 'roll': -8.65, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.35, 'datetime': '2018-10-03 16:57:09.291998', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 1.35, 'roll': -6.04, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 24.16, 'datetime': '2018-10-03 16:57:09.395108', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -0.69, 'roll': -4.3, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 4.0, 'temp': 25.69, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 23.92, 'datetime': '2018-10-03 16:57:09.498227', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -2.23, 'roll': -2.98, 'pres': 211}
