{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.72, 'datetime': '2018-10-09 23:47:58.336833', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 1, 'pitch': 0.51, 'roll': 0.07, 'pres': 173}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.62, 'datetime': '2018-10-09 23:47:58.356054', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 1, 'pitch': 3.0, 'roll': -1.09, 'pres': 173}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.58, 'datetime': '2018-10-09 23:47:58.369406', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': 5.05, 'roll': -2.59, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.24, 'datetime': '2018-10-09 23:47:58.390021', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 2, 'pitch': 6.28, 'roll': -4.23, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.63, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.24, 'datetime': '2018-10-09 23:47:58.409499', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': 6.61, 'roll': -5.13, 'pres': 171}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.51, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.75, 'datetime': '2018-10-09 23:47:58.422847', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': 6.58, 'roll': -5.31, 'pres': 171}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.75, 'datetime': '2018-10-09 23:47:58.442102', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': 7.11, 'roll': -4.98, 'pres': 171}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.73, 'datetime': '2018-10-09 23:47:58.461253', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 2, 'pitch': 8.03, 'roll': -4.67, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.19, 'datetime': '2018-10-09 23:47:58.474617', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 2, 'pitch': 8.67, 'roll': -4.33, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-09 23:47:58.495034', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': 8.76, 'roll': -3.96, 'pres': 171}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.13, 'datetime': '2018-10-09 23:47:58.511322', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': 7.71, 'roll': -3.31, 'pres': 171}
