{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.27, 'datetime': '2018-10-05 19:50:55.024309', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 56, 'pitch': -15.79, 'roll': -10.15, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.75, 'datetime': '2018-10-05 19:50:55.034109', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 57, 'pitch': -15.46, 'roll': -10.0, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.16, 'datetime': '2018-10-05 19:50:55.043962', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 57, 'pitch': -14.57, 'roll': -9.45, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.17, 'datetime': '2018-10-05 19:50:55.057782', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 57, 'pitch': -13.47, 'roll': -8.68, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.82, 'datetime': '2018-10-05 19:50:55.161942', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 57, 'pitch': -13.24, 'roll': -7.9, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.28, 'datetime': '2018-10-05 19:50:55.266092', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 57, 'pitch': -13.56, 'roll': -6.84, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.96, 'datetime': '2018-10-05 19:50:55.370223', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 57, 'pitch': -13.2, 'roll': -5.64, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.85, 'datetime': '2018-10-05 19:50:55.474336', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 57, 'pitch': -12.29, 'roll': -4.14, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.62, 'datetime': '2018-10-05 19:50:55.578440', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 57, 'pitch': -11.93, 'roll': -2.49, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.03, 'datetime': '2018-10-05 19:50:55.683268', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 57, 'pitch': -12.89, 'roll': -1.41, 'pres': 165}
