{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.2, 'datetime': '2018-10-05 20:20:53.921189', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -22.75, 'roll': -6.57, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.04, 'datetime': '2018-10-05 20:20:53.930975', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -23.21, 'roll': -6.84, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.94, 'datetime': '2018-10-05 20:20:53.940751', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -23.39, 'roll': -6.95, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.94, 'datetime': '2018-10-05 20:20:53.950553', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -23.41, 'roll': -7.01, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.92, 'datetime': '2018-10-05 20:20:53.960346', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -23.37, 'roll': -7.0, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.83, 'datetime': '2018-10-05 20:20:53.970171', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 50, 'pitch': -23.26, 'roll': -6.85, 'pres': 167}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.81, 'datetime': '2018-10-05 20:20:53.980042', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 50, 'pitch': -23.03, 'roll': -6.65, 'pres': 167}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.77, 'datetime': '2018-10-05 20:20:53.989932', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 50, 'pitch': -22.76, 'roll': -6.35, 'pres': 167}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.76, 'datetime': '2018-10-05 20:20:54.001591', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 50, 'pitch': -22.65, 'roll': -5.9, 'pres': 168}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.88, 'datetime': '2018-10-05 20:20:54.013424', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 50, 'pitch': -22.82, 'roll': -5.52, 'pres': 168}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.18, 'datetime': '2018-10-05 20:20:54.023370', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 50, 'pitch': -23.14, 'roll': -5.2, 'pres': 168}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.54, 'datetime': '2018-10-05 20:20:54.033265', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 50, 'pitch': -23.48, 'roll': -5.06, 'pres': 169}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 4.03, 'datetime': '2018-10-05 20:20:54.043180', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 50, 'pitch': -23.76, 'roll': -5.08, 'pres': 169}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 4.73, 'datetime': '2018-10-05 20:20:54.053242', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 50, 'pitch': -23.91, 'roll': -5.32, 'pres': 169}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 5.45, 'datetime': '2018-10-05 20:20:54.063165', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 51, 'pitch': -24.02, 'roll': -5.61, 'pres': 170}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 6.23, 'datetime': '2018-10-05 20:20:54.073114', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 51, 'pitch': -24.31, 'roll': -5.93, 'pres': 169}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 6.92, 'datetime': '2018-10-05 20:20:54.119499', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 51, 'pitch': -24.7, 'roll': -6.21, 'pres': 170}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 7.61, 'datetime': '2018-10-05 20:20:54.223715', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 51, 'pitch': -25.03, 'roll': -6.43, 'pres': 170}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 8.14, 'datetime': '2018-10-05 20:20:54.329219', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 51, 'pitch': -25.29, 'roll': -6.49, 'pres': 170}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 8.53, 'datetime': '2018-10-05 20:20:54.433441', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 51, 'pitch': -25.7, 'roll': -6.39, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 8.75, 'datetime': '2018-10-05 20:20:54.545182', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 51, 'pitch': -26.19, 'roll': -6.19, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 8.95, 'datetime': '2018-10-05 20:20:54.650073', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 51, 'pitch': -26.68, 'roll': -6.0, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.14, 'datetime': '2018-10-05 20:20:54.754337', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 51, 'pitch': -27.14, 'roll': -5.81, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.24, 'datetime': '2018-10-05 20:20:54.858872', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 51, 'pitch': -27.4, 'roll': -5.62, 'pres': 171}
