{'lipoC2': 7.29, 'lipoC3S1': 3.83, 'temp': 30.13, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.35, 'datetime': '2018-10-09 23:42:05.246867', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -5.32, 'roll': 2.04, 'pres': 172}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.56, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.45, 'datetime': '2018-10-09 23:42:09.776152', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -5.66, 'roll': 2.14, 'pres': 172}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.41, 'datetime': '2018-10-09 23:42:12.826956', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -5.53, 'roll': 2.2, 'pres': 172}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.41, 'datetime': '2018-10-09 23:42:12.856078', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -5.11, 'roll': 2.11, 'pres': 171}
{'lipoC2': 7.29, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.5, 'datetime': '2018-10-09 23:42:12.879075', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -4.78, 'roll': 1.85, 'pres': 171}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.56, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.75, 'datetime': '2018-10-09 23:42:12.909277', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -4.7, 'roll': 1.43, 'pres': 171}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.25, 'datetime': '2018-10-09 23:42:12.926999', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -4.77, 'roll': 0.9, 'pres': 171}
{'lipoC2': 7.29, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.93, 'datetime': '2018-10-09 23:42:12.936989', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': -4.88, 'roll': 0.3, 'pres': 171}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.65, 'datetime': '2018-10-09 23:42:12.952867', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': -4.88, 'roll': -0.27, 'pres': 171}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.03, 'datetime': '2018-10-09 23:42:12.968784', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 2, 'pitch': -4.97, 'roll': -0.41, 'pres': 170}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 23:42:12.978808', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': -1.97, 'roll': 2.86, 'pres': 170}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.77, 'datetime': '2018-10-09 23:42:12.994745', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': -2.45, 'roll': 2.24, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.31, 'datetime': '2018-10-09 23:42:13.010658', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': -3.63, 'roll': 1.84, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.41, 'datetime': '2018-10-09 23:42:13.020663', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': -4.47, 'roll': 1.87, 'pres': 169}
{'lipoC2': 7.29, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.28, 'datetime': '2018-10-09 23:42:13.036729', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': -4.86, 'roll': 2.41, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.04, 'datetime': '2018-10-09 23:42:13.052645', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': -5.15, 'roll': 3.25, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.82, 'datetime': '2018-10-09 23:42:13.062694', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': -5.43, 'roll': 3.8, 'pres': 170}
{'lipoC2': 7.29, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.56, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.87, 'datetime': '2018-10-09 23:42:13.078592', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 1, 'pitch': -5.39, 'roll': 3.85, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.24, 'datetime': '2018-10-09 23:42:13.094514', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 2, 'pitch': -4.94, 'roll': 3.47, 'pres': 168}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.67, 'datetime': '2018-10-09 23:42:13.104572', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 2, 'pitch': -4.55, 'roll': 2.79, 'pres': 168}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.86, 'datetime': '2018-10-09 23:42:13.120495', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 2, 'pitch': -4.67, 'roll': 1.88, 'pres': 168}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.88, 'datetime': '2018-10-09 23:42:13.136339', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 2, 'pitch': -5.55, 'roll': 1.12, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.98, 'datetime': '2018-10-09 23:42:13.146346', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 2, 'pitch': -6.5, 'roll': 0.54, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.25, 'datetime': '2018-10-09 23:42:13.162234', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 2, 'pitch': -7.0, 'roll': 0.09, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.73, 'datetime': '2018-10-09 23:42:13.178111', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 2, 'pitch': -6.93, 'roll': -0.48, 'pres': 169}
{'lipoC2': 7.3, 'lipoC3S1': 3.83, 'temp': 30.06, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.08, 'datetime': '2018-10-09 23:42:13.188126', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 2, 'pitch': -6.48, 'roll': -0.81, 'pres': 168}
{'lipoC2': 7.29, 'lipoC3S1': 3.83, 'temp': 30.13, 'lipoC3S3': 11.58, 'lipoC3S2': 7.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.2, 'datetime': '2018-10-09 23:42:13.203996', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 2, 'pitch': -6.05, 'roll': -0.96, 'pres': 167}
