{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:28.759575', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.788126', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.811310', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.834404', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.857432', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.874506', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.884531', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.894489', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.904454', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 34, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.914425', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 35, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -38.31, 'datetime': '2018-10-09 20:33:32.924386', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 35, 'pitch': -3.81, 'roll': 0.38, 'pres': 161}
