{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.38, 'datetime': '2018-10-09 11:57:53.738408', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 1, 'pitch': 11.69, 'roll': -4.5, 'pres': 182}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.1, 'datetime': '2018-10-09 11:57:53.769069', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 1, 'pitch': 12.08, 'roll': -3.14, 'pres': 183}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.82, 'datetime': '2018-10-09 11:57:53.799362', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 1, 'pitch': 12.89, 'roll': -1.8, 'pres': 184}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.45, 'datetime': '2018-10-09 11:57:53.814528', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 1, 'pitch': 13.47, 'roll': -0.51, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.12, 'datetime': '2018-10-09 11:57:53.825860', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 1, 'pitch': 13.5, 'roll': 0.5, 'pres': 186}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.86, 'datetime': '2018-10-09 11:57:53.835479', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 1, 'pitch': 13.42, 'roll': 1.13, 'pres': 186}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.89, 'datetime': '2018-10-09 11:57:53.845046', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 1, 'pitch': 13.34, 'roll': 1.7, 'pres': 186}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.69, 'datetime': '2018-10-09 11:57:53.854570', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 2, 'pitch': 13.06, 'roll': 2.31, 'pres': 186}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.58, 'datetime': '2018-10-09 11:57:53.864114', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 2, 'pitch': 12.28, 'roll': 2.75, 'pres': 186}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.87, 'datetime': '2018-10-09 11:57:53.873650', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 2, 'pitch': 10.84, 'roll': 2.84, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.05, 'datetime': '2018-10-09 11:57:53.883178', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 2, 'pitch': 8.83, 'roll': 2.79, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.2, 'datetime': '2018-10-09 11:57:53.892724', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 2, 'pitch': 7.03, 'roll': 2.74, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.15, 'datetime': '2018-10-09 11:57:53.902241', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 2, 'pitch': 5.42, 'roll': 2.78, 'pres': 184}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.89, 'datetime': '2018-10-09 11:57:53.911786', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 2, 'pitch': 4.12, 'roll': 2.89, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.61, 'datetime': '2018-10-09 11:57:53.921742', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 2, 'pitch': 3.86, 'roll': 3.0, 'pres': 184}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.23, 'datetime': '2018-10-09 11:57:53.931399', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 2, 'pitch': 4.45, 'roll': 3.06, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.3, 'datetime': '2018-10-09 11:57:53.940931', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 3, 'pitch': 5.39, 'roll': 2.81, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.15, 'datetime': '2018-10-09 11:57:53.950623', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 3, 'pitch': 6.08, 'roll': 2.32, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.87, 'datetime': '2018-10-09 11:57:53.960194', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 3, 'pitch': 6.36, 'roll': 1.84, 'pres': 185}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.88, 'datetime': '2018-10-09 11:57:53.969722', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 3, 'pitch': 6.34, 'roll': 1.29, 'pres': 185}
{'lipoC2': 7.56, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.78, 'datetime': '2018-10-09 11:57:53.979283', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 3, 'pitch': 6.29, 'roll': 0.69, 'pres': 184}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.45, 'datetime': '2018-10-09 11:57:54.032962', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 3, 'pitch': 6.58, 'roll': 0.13, 'pres': 184}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.5, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.43, 'datetime': '2018-10-09 11:57:54.136161', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 3, 'pitch': 6.31, 'roll': -0.12, 'pres': 183}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.5, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.95, 'datetime': '2018-10-09 11:57:54.239439', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 3, 'pitch': 3.99, 'roll': 0.07, 'pres': 182}
{'lipoC2': 7.56, 'lipoC3S1': 4.14, 'temp': 31.5, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.6, 'datetime': '2018-10-09 11:57:54.343365', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 3, 'pitch': 0.53, 'roll': 0.69, 'pres': 180}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.46, 'datetime': '2018-10-09 11:57:54.446577', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 3, 'pitch': -3.83, 'roll': 1.6, 'pres': 179}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.38, 'datetime': '2018-10-09 11:57:54.554369', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 4, 'pitch': -7.53, 'roll': 2.44, 'pres': 178}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.5, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.97, 'datetime': '2018-10-09 11:57:54.661634', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 4, 'pitch': -10.55, 'roll': 3.07, 'pres': 178}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.5, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.13, 'datetime': '2018-10-09 11:57:54.765015', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 4, 'pitch': -12.48, 'roll': 3.3, 'pres': 177}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.21, 'datetime': '2018-10-09 11:57:54.868324', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 4, 'pitch': -12.59, 'roll': 2.96, 'pres': 178}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.77, 'datetime': '2018-10-09 11:57:54.972725', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 4, 'pitch': -11.54, 'roll': 2.14, 'pres': 177}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.37, 'datetime': '2018-10-09 11:57:55.075854', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 4, 'pitch': -9.45, 'roll': 1.17, 'pres': 177}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.63, 'datetime': '2018-10-09 11:57:55.179047', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 4, 'pitch': -7.47, 'roll': 0.81, 'pres': 176}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.64, 'datetime': '2018-10-09 11:57:55.282583', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 4, 'pitch': -7.0, 'roll': 0.93, 'pres': 176}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -6.65, 'datetime': '2018-10-09 11:57:55.385785', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 4, 'pitch': -9.2, 'roll': 1.27, 'pres': 176}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.26, 'datetime': '2018-10-09 11:57:55.489308', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -11.95, 'roll': 1.44, 'pres': 175}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.46, 'datetime': '2018-10-09 11:57:55.592223', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 5, 'pitch': -14.06, 'roll': 1.39, 'pres': 175}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.3, 'datetime': '2018-10-09 11:57:55.695655', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 5, 'pitch': -14.7, 'roll': 0.92, 'pres': 174}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.56, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -6.4, 'datetime': '2018-10-09 11:57:55.798912', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 5, 'pitch': -13.58, 'roll': 0.25, 'pres': 174}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.29, 'datetime': '2018-10-09 11:57:55.903349', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 5, 'pitch': -11.33, 'roll': -0.33, 'pres': 175}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.8, 'datetime': '2018-10-09 11:57:56.006573', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 5, 'pitch': -9.01, 'roll': -0.98, 'pres': 176}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.28, 'datetime': '2018-10-09 11:57:56.109975', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 5, 'pitch': -7.75, 'roll': -1.68, 'pres': 176}
{'lipoC2': 7.57, 'lipoC3S1': 4.14, 'temp': 31.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.58, 'datetime': '2018-10-09 11:57:56.214328', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 5, 'pitch': -7.35, 'roll': -2.6, 'pres': 176}
