{'lipoC2': 7.26, 'lipoC3S1': 4.15, 'temp': 27.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 153.58, 'datetime': '2018-10-03 17:39:37.267215', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 48, 'pitch': -2.06, 'roll': 3.64, 'pres': 177}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.63, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 152.19, 'datetime': '2018-10-03 17:39:37.289777', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 48, 'pitch': -5.17, 'roll': 3.39, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.75, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 151.1, 'datetime': '2018-10-03 17:39:37.311974', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 48, 'pitch': -7.25, 'roll': 3.08, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.75, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 149.99, 'datetime': '2018-10-03 17:39:37.334198', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 48, 'pitch': -8.71, 'roll': 2.66, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.75, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 149.05, 'datetime': '2018-10-03 17:39:37.356511', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 49, 'pitch': -9.25, 'roll': 2.23, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 148.31, 'datetime': '2018-10-03 17:39:37.378788', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 49, 'pitch': -9.02, 'roll': 1.65, 'pres': 175}
{'lipoC2': 7.26, 'lipoC3S1': 4.15, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 147.86, 'datetime': '2018-10-03 17:39:37.388700', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 49, 'pitch': -8.23, 'roll': 0.76, 'pres': 176}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 147.78, 'datetime': '2018-10-03 17:39:37.398466', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 49, 'pitch': -7.22, 'roll': -0.24, 'pres': 175}
{'lipoC2': 7.27, 'lipoC3S1': 4.15, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 158, 'rot0': 176, 'rot3': 43, 'rot2': 64, 'state': 'normal', 'yaw': 147.93, 'datetime': '2018-10-03 17:39:37.408252', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 49, 'pitch': -6.21, 'roll': -1.46, 'pres': 175}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 17:39:37.417751', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -4.6, 'roll': -3.87, 'pres': 172}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 17:39:37.427159', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -4.59, 'roll': -4.07, 'pres': 172}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-03 17:39:37.454001', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -4.43, 'roll': -4.24, 'pres': 172}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.17, 'datetime': '2018-10-03 17:39:37.557434', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -4.15, 'roll': -4.32, 'pres': 172}
{'lipoC2': 7.26, 'lipoC3S1': 4.14, 'temp': 27.69, 'lipoC3S3': 12.51, 'lipoC3S2': 8.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.51, 'datetime': '2018-10-03 17:39:37.660633', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -3.77, 'roll': -4.27, 'pres': 172}
