{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -110.18, 'datetime': '2018-10-09 14:40:49.807663', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 263, 'pitch': 25.11, 'roll': -15.18, 'pres': 171}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -110.64, 'datetime': '2018-10-09 14:40:52.836295', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 263, 'pitch': 25.02, 'roll': -16.15, 'pres': 171}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -111.07, 'datetime': '2018-10-09 14:40:55.884590', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 263, 'pitch': 25.35, 'roll': -16.96, 'pres': 170}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -111.13, 'datetime': '2018-10-09 14:40:55.929685', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 263, 'pitch': 25.56, 'roll': -17.42, 'pres': 170}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -111.07, 'datetime': '2018-10-09 14:40:55.969570', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 263, 'pitch': 25.71, 'roll': -17.72, 'pres': 170}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -111.17, 'datetime': '2018-10-09 14:40:55.988903', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 263, 'pitch': 25.82, 'roll': -17.92, 'pres': 170}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -111.47, 'datetime': '2018-10-09 14:40:56.006161', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 263, 'pitch': 25.79, 'roll': -18.01, 'pres': 169}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -112.09, 'datetime': '2018-10-09 14:40:56.026250', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 263, 'pitch': 25.32, 'roll': -18.06, 'pres': 169}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -112.88, 'datetime': '2018-10-09 14:40:56.046268', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 264, 'pitch': 24.65, 'roll': -18.1, 'pres': 169}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -113.98, 'datetime': '2018-10-09 14:40:56.066512', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 264, 'pitch': 23.99, 'roll': -18.24, 'pres': 170}
{'lipoC2': 7.4, 'lipoC3S1': 3.92, 'temp': 27.31, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 258, 'rot0': 261, 'rot3': 214, 'rot2': 187, 'state': 'normal', 'yaw': -115.16, 'datetime': '2018-10-09 14:40:56.086850', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 264, 'pitch': 23.58, 'roll': -18.49, 'pres': 169}
