{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -157.78, 'datetime': '2018-10-09 11:38:09.550305', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 136, 'pitch': 4.08, 'roll': -0.92, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -157.88, 'datetime': '2018-10-09 11:38:09.559964', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 136, 'pitch': 3.96, 'roll': -0.6, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -157.97, 'datetime': '2018-10-09 11:38:09.569628', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 136, 'pitch': 4.31, 'roll': -0.48, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.07, 'datetime': '2018-10-09 11:38:09.579340', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 5.07, 'roll': -0.62, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.13, 'datetime': '2018-10-09 11:38:09.588990', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 5.83, 'roll': -0.77, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.14, 'datetime': '2018-10-09 11:38:09.598633', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 6.19, 'roll': -0.79, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.17, 'datetime': '2018-10-09 11:38:09.608280', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 5.85, 'roll': -0.75, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.26, 'datetime': '2018-10-09 11:38:09.617938', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 4.97, 'roll': -0.64, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.36, 'datetime': '2018-10-09 11:38:09.688146', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 3.94, 'roll': -0.56, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.47, 'datetime': '2018-10-09 11:38:09.791007', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 3.07, 'roll': -0.58, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.56, 'datetime': '2018-10-09 11:38:09.894898', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 2.74, 'roll': -0.73, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.65, 'datetime': '2018-10-09 11:38:09.998629', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 2.89, 'roll': -0.99, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.68, 'datetime': '2018-10-09 11:38:10.101537', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 137, 'pitch': 3.37, 'roll': -1.24, 'pres': 0}
