{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.81, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 25.81, 'datetime': '2018-10-09 12:06:36.988437', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 20, 'pitch': 15.63, 'roll': -4.83, 'pres': 189}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.81, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 24.31, 'datetime': '2018-10-09 12:06:37.018995', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 20, 'pitch': 15.94, 'roll': -5.11, 'pres': 189}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 23.17, 'datetime': '2018-10-09 12:06:37.033181', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 20, 'pitch': 15.82, 'roll': -5.04, 'pres': 188}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.25, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 22.0, 'datetime': '2018-10-09 12:06:37.042972', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 20, 'pitch': 15.87, 'roll': -4.85, 'pres': 189}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 21.26, 'datetime': '2018-10-09 12:06:37.053056', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 20, 'pitch': 15.92, 'roll': -4.25, 'pres': 189}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 21.1, 'datetime': '2018-10-09 12:06:37.062691', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 20, 'pitch': 15.68, 'roll': -3.53, 'pres': 189}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 20.74, 'datetime': '2018-10-09 12:06:37.072532', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 21, 'pitch': 15.27, 'roll': -2.81, 'pres': 189}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.25, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 20.29, 'datetime': '2018-10-09 12:06:37.082265', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 21, 'pitch': 14.55, 'roll': -1.79, 'pres': 189}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 20.32, 'datetime': '2018-10-09 12:06:37.091964', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 21, 'pitch': 13.43, 'roll': -0.7, 'pres': 189}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.25, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 20.42, 'datetime': '2018-10-09 12:06:37.101597', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 21, 'pitch': 11.99, 'roll': 0.23, 'pres': 189}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.25, 'rot1': 0, 'rot0': 0, 'rot3': 78, 'rot2': 65, 'state': 'normal', 'yaw': 20.33, 'datetime': '2018-10-09 12:06:37.111264', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 21, 'pitch': 10.66, 'roll': 0.98, 'pres': 189}
