{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 60.0, 'datetime': '2018-10-09 20:41:14.382214', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 40, 'pitch': -8.94, 'roll': -0.88, 'pres': 185}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 60.31, 'datetime': '2018-10-09 20:41:17.412228', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 40, 'pitch': -9.25, 'roll': -0.88, 'pres': 185}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 60.69, 'datetime': '2018-10-09 20:41:17.448267', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 40, 'pitch': -9.44, 'roll': -0.81, 'pres': 185}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 61.0, 'datetime': '2018-10-09 20:41:17.479239', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 40, 'pitch': -9.63, 'roll': -0.75, 'pres': 185}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 61.38, 'datetime': '2018-10-09 20:41:17.510058', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 40, 'pitch': -9.63, 'roll': -0.75, 'pres': 184}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 61.88, 'datetime': '2018-10-09 20:41:17.533502', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 40, 'pitch': -9.63, 'roll': -0.81, 'pres': 184}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 62.38, 'datetime': '2018-10-09 20:41:17.548136', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 40, 'pitch': -9.56, 'roll': -0.94, 'pres': 185}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 62.88, 'datetime': '2018-10-09 20:41:17.561558', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 41, 'pitch': -9.25, 'roll': -0.94, 'pres': 185}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 63.38, 'datetime': '2018-10-09 20:41:17.574676', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 41, 'pitch': -8.75, 'roll': -0.88, 'pres': 184}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 63.75, 'datetime': '2018-10-09 20:41:17.587835', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 41, 'pitch': -8.19, 'roll': -0.75, 'pres': 185}
{'lipoC2': 7.23, 'lipoC3S1': 3.81, 'temp': 26.19, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 64.19, 'datetime': '2018-10-09 20:41:17.601010', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 41, 'pitch': -7.69, 'roll': -0.63, 'pres': 184}
{'lipoC2': 7.23, 'lipoC3S1': 3.81, 'temp': 26.19, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 64.63, 'datetime': '2018-10-09 20:41:17.614154', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 41, 'pitch': -7.25, 'roll': -0.5, 'pres': 184}
{'lipoC2': 7.23, 'lipoC3S1': 3.81, 'temp': 26.19, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 65.06, 'datetime': '2018-10-09 20:41:17.623672', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 41, 'pitch': -6.75, 'roll': -0.31, 'pres': 184}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 65.44, 'datetime': '2018-10-09 20:41:17.633562', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 41, 'pitch': -6.31, 'roll': -0.19, 'pres': 185}
{'lipoC2': 7.23, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 10, 'rot0': 11, 'rot3': 56, 'rot2': 46, 'state': 'normal', 'yaw': 65.88, 'datetime': '2018-10-09 20:41:17.645193', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 41, 'pitch': -5.88, 'roll': -0.06, 'pres': 184}
