{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -6.04, 'datetime': '2018-10-09 20:03:44.742767', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 31, 'pitch': 11.21, 'roll': -5.83, 'pres': 175}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -5.94, 'datetime': '2018-10-09 20:03:47.770796', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 32, 'pitch': 11.21, 'roll': -5.61, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -5.83, 'datetime': '2018-10-09 20:03:50.813405', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 32, 'pitch': 11.21, 'roll': -5.36, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -5.74, 'datetime': '2018-10-09 20:03:50.843985', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 32, 'pitch': 11.19, 'roll': -5.12, 'pres': 177}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -5.63, 'datetime': '2018-10-09 20:03:50.861733', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 32, 'pitch': 11.13, 'roll': -4.89, 'pres': 177}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -5.44, 'datetime': '2018-10-09 20:03:50.877716', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 32, 'pitch': 11.09, 'roll': -4.68, 'pres': 177}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -5.14, 'datetime': '2018-10-09 20:03:50.893772', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 32, 'pitch': 11.11, 'roll': -4.56, 'pres': 177}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -4.81, 'datetime': '2018-10-09 20:03:50.909797', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 32, 'pitch': 11.06, 'roll': -4.49, 'pres': 177}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -4.44, 'datetime': '2018-10-09 20:03:50.925838', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 32, 'pitch': 11.04, 'roll': -4.42, 'pres': 178}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -3.92, 'datetime': '2018-10-09 20:03:50.941894', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 32, 'pitch': 11.11, 'roll': -4.49, 'pres': 178}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 25, 'rot0': 24, 'rot3': 55, 'rot2': 44, 'state': 'normal', 'yaw': -3.21, 'datetime': '2018-10-09 20:03:50.957874', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 32, 'pitch': 11.17, 'roll': -4.64, 'pres': 178}
