{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -135.83, 'datetime': '2018-10-09 11:35:31.654708', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': 5.16, 'roll': -0.26, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -136.2, 'datetime': '2018-10-09 11:35:31.664878', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 4.9, 'roll': -0.27, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -136.59, 'datetime': '2018-10-09 11:35:31.674850', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 4.75, 'roll': -0.21, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -137.01, 'datetime': '2018-10-09 11:35:31.684909', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 4.81, 'roll': -0.17, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -137.39, 'datetime': '2018-10-09 11:35:31.694987', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 5.09, 'roll': -0.2, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -137.77, 'datetime': '2018-10-09 11:35:31.705011', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 5.49, 'roll': -0.21, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -138.18, 'datetime': '2018-10-09 11:35:31.715074', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 5.83, 'roll': -0.23, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.5, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -138.57, 'datetime': '2018-10-09 11:35:31.725127', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 5.87, 'roll': -0.23, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.5, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -139.43, 'datetime': '2018-10-09 11:35:31.735161', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 5.62, 'roll': -0.15, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.5, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -140.19, 'datetime': '2018-10-09 11:35:31.745165', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 5.12, 'roll': -0.03, 'pres': 0}
