{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.44, 'lipoC3S3': 11.92, 'lipoC3S2': 7.87, 'rot1': 20, 'rot0': 18, 'rot3': 38, 'rot2': 33, 'state': 'normal', 'yaw': -50.06, 'datetime': '2018-10-03 17:28:05.984866', 'mgs': 0, 'volt': 0.9912, 'depth': 2.988, 'time': 18, 'pitch': -1.36, 'roll': 77.8, 'pres': 203}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.38, 'lipoC3S3': 11.9, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 17:28:06.008738', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 1, 'pitch': -4.5, 'roll': 22.38, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.38, 'lipoC3S3': 11.9, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-03 17:28:06.032633', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 1, 'pitch': -5.17, 'roll': 16.25, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.38, 'lipoC3S3': 11.9, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.08, 'datetime': '2018-10-03 17:28:06.049588', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 1, 'pitch': -5.63, 'roll': 12.12, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.38, 'lipoC3S3': 11.9, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.22, 'datetime': '2018-10-03 17:28:06.060615', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 1, 'pitch': -5.95, 'roll': 9.06, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.38, 'lipoC3S3': 11.92, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.43, 'datetime': '2018-10-03 17:28:06.072465', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 1, 'pitch': -6.15, 'roll': 6.57, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.38, 'lipoC3S3': 11.92, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.69, 'datetime': '2018-10-03 17:28:06.082447', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 1, 'pitch': -6.27, 'roll': 4.97, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.38, 'lipoC3S3': 11.9, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.01, 'datetime': '2018-10-03 17:28:06.092511', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -6.35, 'roll': 4.01, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.44, 'lipoC3S3': 11.9, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.37, 'datetime': '2018-10-03 17:28:06.102381', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 1, 'pitch': -6.39, 'roll': 3.39, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.44, 'lipoC3S3': 11.9, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.76, 'datetime': '2018-10-03 17:28:06.112325', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 2, 'pitch': -6.44, 'roll': 2.96, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 3.94, 'temp': 26.38, 'lipoC3S3': 11.92, 'lipoC3S2': 7.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.09, 'datetime': '2018-10-03 17:28:06.122199', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 2, 'pitch': -6.61, 'roll': 2.45, 'pres': 209}
