{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.75, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -170.36, 'datetime': '2018-10-09 20:14:46.907448', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 67, 'pitch': -0.94, 'roll': 0.85, 'pres': 175}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.75, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -170.12, 'datetime': '2018-10-09 20:14:49.936239', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 67, 'pitch': -0.28, 'roll': 0.41, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.75, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -169.88, 'datetime': '2018-10-09 20:14:49.979473', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': 0.08, 'roll': -0.13, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.75, 'lipoC3S3': 11.6, 'lipoC3S2': 7.69, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -169.93, 'datetime': '2018-10-09 20:14:50.019536', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': 0.16, 'roll': -0.55, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -170.52, 'datetime': '2018-10-09 20:14:50.048186', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': -0.23, 'roll': -0.68, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -171.16, 'datetime': '2018-10-09 20:14:50.066782', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': -0.84, 'roll': -0.74, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -171.63, 'datetime': '2018-10-09 20:14:50.086901', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': -1.29, 'roll': -1.03, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.69, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -171.61, 'datetime': '2018-10-09 20:14:50.107056', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': -1.22, 'roll': -1.65, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -171.21, 'datetime': '2018-10-09 20:14:50.127175', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': -0.86, 'roll': -2.49, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -170.75, 'datetime': '2018-10-09 20:14:50.147374', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': -0.6, 'roll': -3.27, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -170.48, 'datetime': '2018-10-09 20:14:50.167712', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 68, 'pitch': -0.75, 'roll': -3.61, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -170.38, 'datetime': '2018-10-09 20:14:50.184212', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 69, 'pitch': -1.18, 'roll': -3.56, 'pres': 173}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -170.39, 'datetime': '2018-10-09 20:14:50.204003', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 69, 'pitch': -1.58, 'roll': -3.11, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -170.16, 'datetime': '2018-10-09 20:14:50.224181', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 69, 'pitch': -1.76, 'roll': -2.63, 'pres': 174}
{'lipoC2': 7.3, 'lipoC3S1': 3.84, 'temp': 26.81, 'lipoC3S3': 11.6, 'lipoC3S2': 7.68, 'rot1': 172, 'rot0': 173, 'rot3': 94, 'rot2': 88, 'state': 'normal', 'yaw': -169.58, 'datetime': '2018-10-09 20:14:50.244485', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 69, 'pitch': -1.77, 'roll': -2.16, 'pres': 174}
