{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-10 00:30:06.972684', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -27.77, 'roll': -10.98, 'pres': 171}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.13, 'datetime': '2018-10-10 00:30:06.995491', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -28.42, 'roll': -11.63, 'pres': 171}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.75, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-10 00:30:07.018638', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -29.06, 'roll': -13.01, 'pres': 171}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.75, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.36, 'datetime': '2018-10-10 00:30:07.041635', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -29.49, 'roll': -14.3, 'pres': 171}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.75, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.71, 'datetime': '2018-10-10 00:30:07.064534', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -29.63, 'roll': -15.11, 'pres': 171}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.72, 'datetime': '2018-10-10 00:30:07.087475', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': -29.48, 'roll': -15.19, 'pres': 170}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.46, 'datetime': '2018-10-10 00:30:07.106531', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': -29.26, 'roll': -14.71, 'pres': 170}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.05, 'datetime': '2018-10-10 00:30:07.116506', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': -28.96, 'roll': -13.82, 'pres': 170}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.25, 'datetime': '2018-10-10 00:30:07.126494', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 2, 'pitch': -28.63, 'roll': -13.14, 'pres': 170}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.39, 'datetime': '2018-10-10 00:30:07.136418', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 2, 'pitch': -28.54, 'roll': -12.81, 'pres': 170}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.31, 'datetime': '2018-10-10 00:30:07.146325', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': -28.6, 'roll': -12.64, 'pres': 171}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.15, 'datetime': '2018-10-10 00:30:07.156175', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': -28.59, 'roll': -12.33, 'pres': 171}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.15, 'datetime': '2018-10-10 00:30:07.165526', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 2, 'pitch': -28.38, 'roll': -11.89, 'pres': 170}
{'lipoC2': 7.56, 'lipoC3S1': 4.1, 'temp': 29.69, 'lipoC3S3': 12.41, 'lipoC3S2': 8.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.38, 'datetime': '2018-10-10 00:30:07.174868', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 2, 'pitch': -28.19, 'roll': -11.42, 'pres': 170}
