{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.72, 'datetime': '2018-10-10 00:40:53.273865', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 2, 'pitch': -6.93, 'roll': -0.07, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.06, 'datetime': '2018-10-10 00:40:53.376999', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 2, 'pitch': -7.0, 'roll': -0.18, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.49, 'datetime': '2018-10-10 00:40:53.480917', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 3, 'pitch': -7.27, 'roll': -0.19, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.97, 'datetime': '2018-10-10 00:40:53.585398', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 3, 'pitch': -7.59, 'roll': -0.3, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.42, 'datetime': '2018-10-10 00:40:53.688650', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 3, 'pitch': -7.68, 'roll': -0.7, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.65, 'datetime': '2018-10-10 00:40:53.801244', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 3, 'pitch': -7.51, 'roll': -1.08, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.99, 'datetime': '2018-10-10 00:40:53.895089', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 3, 'pitch': -7.01, 'roll': -1.3, 'pres': 173}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.59, 'datetime': '2018-10-10 00:40:53.997853', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 3, 'pitch': -6.29, 'roll': -1.03, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.68, 'datetime': '2018-10-10 00:40:54.101055', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 3, 'pitch': -5.44, 'roll': -0.29, 'pres': 173}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 5.74, 'datetime': '2018-10-10 00:40:54.204270', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 3, 'pitch': -4.94, 'roll': 0.45, 'pres': 173}
