{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:09.791059', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.824519', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.855964', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.875055', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 7.99, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.894393', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.913827', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.933486', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.952778', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.971162', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:15.990882', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:16.010404', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:16.029618', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:16.049229', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
{'lipoC2': 8.0, 'lipoC3S1': 4.17, 'temp': 24.94, 'lipoC3S3': 12.6, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-05 15:18:16.069150', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.36, 'roll': -1.8, 'pres': 160}
