{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.5, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 22.95, 'datetime': '2018-10-09 13:38:54.368868', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 322, 'pitch': -1.81, 'roll': -0.97, 'pres': 189}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.5, 'lipoC3S3': 11.76, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 22.98, 'datetime': '2018-10-09 13:38:54.392901', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 322, 'pitch': -2.14, 'roll': -0.87, 'pres': 189}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 23.0, 'datetime': '2018-10-09 13:38:54.416803', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 322, 'pitch': -2.09, 'roll': -0.89, 'pres': 189}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 23.06, 'datetime': '2018-10-09 13:38:54.440711', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 323, 'pitch': -1.45, 'roll': -1.07, 'pres': 189}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 23.11, 'datetime': '2018-10-09 13:38:54.464549', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 323, 'pitch': -0.48, 'roll': -1.33, 'pres': 190}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 23.13, 'datetime': '2018-10-09 13:38:54.477016', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 323, 'pitch': 0.51, 'roll': -1.65, 'pres': 189}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 23.1, 'datetime': '2018-10-09 13:38:54.487343', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 323, 'pitch': 1.06, 'roll': -2.01, 'pres': 190}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 23.11, 'datetime': '2018-10-09 13:38:54.497669', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 323, 'pitch': 0.72, 'roll': -2.32, 'pres': 191}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 23.16, 'datetime': '2018-10-09 13:38:54.507979', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 323, 'pitch': -0.37, 'roll': -2.61, 'pres': 190}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 22.77, 'datetime': '2018-10-09 13:38:54.518315', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 323, 'pitch': -1.6, 'roll': -2.64, 'pres': 191}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 22.17, 'datetime': '2018-10-09 13:38:54.528625', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 323, 'pitch': -2.6, 'roll': -2.51, 'pres': 191}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 21.64, 'datetime': '2018-10-09 13:38:54.538948', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 323, 'pitch': -2.75, 'roll': -2.35, 'pres': 191}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 21.06, 'datetime': '2018-10-09 13:38:54.549274', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 323, 'pitch': -2.2, 'roll': -2.17, 'pres': 191}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.78, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 20.38, 'datetime': '2018-10-09 13:38:54.559579', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 324, 'pitch': -1.4, 'roll': -1.92, 'pres': 191}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 20.2, 'datetime': '2018-10-09 13:38:54.570460', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 324, 'pitch': -0.61, 'roll': -1.85, 'pres': 192}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 20.66, 'datetime': '2018-10-09 13:38:54.580882', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 324, 'pitch': 0.52, 'roll': -2.27, 'pres': 191}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 21.25, 'datetime': '2018-10-09 13:38:54.591216', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 324, 'pitch': 1.61, 'roll': -2.83, 'pres': 192}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 21.69, 'datetime': '2018-10-09 13:38:54.601559', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 324, 'pitch': 2.65, 'roll': -3.38, 'pres': 192}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 21.45, 'datetime': '2018-10-09 13:38:54.611901', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 324, 'pitch': 3.37, 'roll': -3.57, 'pres': 192}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 20.73, 'datetime': '2018-10-09 13:38:54.622218', 'mgs': 0, 'volt': 0.9424, 'depth': 2.225, 'time': 324, 'pitch': 4.1, 'roll': -3.53, 'pres': 193}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 20.12, 'datetime': '2018-10-09 13:38:54.632330', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 324, 'pitch': 4.76, 'roll': -3.43, 'pres': 192}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 19.48, 'datetime': '2018-10-09 13:38:54.642066', 'mgs': 0, 'volt': 0.9424, 'depth': 2.225, 'time': 324, 'pitch': 5.46, 'roll': -3.28, 'pres': 193}
{'lipoC2': 7.35, 'lipoC3S1': 3.89, 'temp': 30.56, 'lipoC3S3': 11.76, 'lipoC3S2': 7.77, 'rot1': 1455, 'rot0': 1451, 'rot3': 650, 'rot2': 582, 'state': 'normal', 'yaw': 18.95, 'datetime': '2018-10-09 13:38:54.651796', 'mgs': 0, 'volt': 0.9424, 'depth': 2.225, 'time': 325, 'pitch': 6.14, 'roll': -3.09, 'pres': 193}
