{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.13, 'lipoC3S3': 12.47, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.73, 'datetime': '2018-10-09 12:29:35.885913', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 14, 'pitch': -0.59, 'roll': -1.92, 'pres': 191}
{'lipoC2': 7.49, 'lipoC3S1': 4.12, 'temp': 31.13, 'lipoC3S3': 12.47, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.74, 'datetime': '2018-10-09 12:29:35.920285', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 14, 'pitch': -0.72, 'roll': -1.91, 'pres': 190}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.13, 'lipoC3S3': 12.47, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.74, 'datetime': '2018-10-09 12:29:35.950936', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 14, 'pitch': -0.8, 'roll': -1.92, 'pres': 190}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.47, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.74, 'datetime': '2018-10-09 12:29:35.981366', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 14, 'pitch': -0.8, 'roll': -1.92, 'pres': 191}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.47, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.74, 'datetime': '2018-10-09 12:29:36.006866', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 14, 'pitch': -0.8, 'roll': -1.95, 'pres': 191}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.47, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.78, 'datetime': '2018-10-09 12:29:36.020109', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 14, 'pitch': -0.79, 'roll': -2.1, 'pres': 190}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.47, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.79, 'datetime': '2018-10-09 12:29:36.033825', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 14, 'pitch': -0.78, 'roll': -2.26, 'pres': 190}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.46, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.79, 'datetime': '2018-10-09 12:29:36.047042', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 15, 'pitch': -0.78, 'roll': -2.39, 'pres': 190}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.47, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.79, 'datetime': '2018-10-09 12:29:36.060194', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 15, 'pitch': -0.78, 'roll': -2.41, 'pres': 191}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.46, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.79, 'datetime': '2018-10-09 12:29:36.073323', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 15, 'pitch': -0.75, 'roll': -2.32, 'pres': 191}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.46, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.79, 'datetime': '2018-10-09 12:29:36.086494', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 15, 'pitch': -0.63, 'roll': -2.15, 'pres': 190}
{'lipoC2': 7.49, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.46, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.78, 'datetime': '2018-10-09 12:29:36.099603', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 15, 'pitch': -0.4, 'roll': -1.99, 'pres': 190}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.46, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.77, 'datetime': '2018-10-09 12:29:36.112063', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 15, 'pitch': -0.18, 'roll': -1.95, 'pres': 190}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.46, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.77, 'datetime': '2018-10-09 12:29:36.123152', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 15, 'pitch': -0.08, 'roll': -1.96, 'pres': 190}
{'lipoC2': 7.5, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.46, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.77, 'datetime': '2018-10-09 12:29:36.133173', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 15, 'pitch': -0.15, 'roll': -1.95, 'pres': 190}
{'lipoC2': 7.49, 'lipoC3S1': 4.12, 'temp': 31.19, 'lipoC3S3': 12.46, 'lipoC3S2': 8.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.78, 'datetime': '2018-10-09 12:29:36.142673', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 15, 'pitch': -0.39, 'roll': -1.96, 'pres': 190}
