{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.25, 'datetime': '2018-10-03 17:46:45.941133', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -0.26, 'roll': 1.35, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.25, 'datetime': '2018-10-03 17:46:45.951673', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -1.86, 'roll': 1.09, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.24, 'datetime': '2018-10-03 17:46:45.962249', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -2.7, 'roll': 0.95, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.24, 'datetime': '2018-10-03 17:46:45.973250', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 1, 'pitch': -3.22, 'roll': 0.87, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.23, 'datetime': '2018-10-03 17:46:45.983807', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -3.74, 'roll': 0.58, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.24, 'datetime': '2018-10-03 17:46:45.994047', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -4.16, 'roll': 0.45, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.25, 'datetime': '2018-10-03 17:46:46.004048', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -4.55, 'roll': 0.4, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.26, 'datetime': '2018-10-03 17:46:46.013943', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -4.89, 'roll': 0.47, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.27, 'datetime': '2018-10-03 17:46:46.023864', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -5.16, 'roll': 0.58, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.28, 'datetime': '2018-10-03 17:46:46.033779', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -5.4, 'roll': 0.7, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.28, 'datetime': '2018-10-03 17:46:46.043675', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -5.62, 'roll': 0.84, 'pres': 211}
