{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:01.940821', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 283, 'pitch': 23.72, 'roll': -31.59, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:01.951333', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.72, 'roll': -31.62, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:01.961748', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.73, 'roll': -31.65, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:01.972200', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.73, 'roll': -31.66, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:01.982615', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.72, 'roll': -31.7, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:01.993012', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.72, 'roll': -31.71, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.003426', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.72, 'roll': -31.73, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.013829', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.73, 'roll': -31.75, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.024243', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.72, 'roll': -31.76, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.034676', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 284, 'pitch': 23.73, 'roll': -31.78, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.045128', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.72, 'roll': -31.78, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.055374', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.72, 'roll': -31.78, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.065453', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.72, 'roll': -31.79, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:02.075345', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.72, 'roll': -31.8, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:02.085178', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.73, 'roll': -31.83, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:02.095010', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.73, 'roll': -31.83, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.104869', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.73, 'roll': -31.87, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.114657', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.73, 'roll': -31.87, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.124494', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.72, 'roll': -31.91, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.134318', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 285, 'pitch': 23.72, 'roll': -31.94, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:02.144135', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.73, 'roll': -31.96, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:02.153960', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.72, 'roll': -31.96, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:02.163811', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.72, 'roll': -31.99, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:02.173647', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.72, 'roll': -31.99, 'pres': 160}
