{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 9.12, 'datetime': '2018-10-09 13:32:17.709036', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 256, 'pitch': -6.42, 'roll': -3.42, 'pres': 186}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 8.25, 'datetime': '2018-10-09 13:32:17.732865', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 256, 'pitch': -5.78, 'roll': -2.86, 'pres': 186}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 7.04, 'datetime': '2018-10-09 13:32:17.756754', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 256, 'pitch': -4.83, 'roll': -2.13, 'pres': 186}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 5.92, 'datetime': '2018-10-09 13:32:17.780668', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 256, 'pitch': -4.25, 'roll': -1.49, 'pres': 186}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 5.06, 'datetime': '2018-10-09 13:32:17.795070', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 256, 'pitch': -4.13, 'roll': -1.09, 'pres': 185}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 4.5, 'datetime': '2018-10-09 13:32:17.805422', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 256, 'pitch': -4.5, 'roll': -1.02, 'pres': 185}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 4.22, 'datetime': '2018-10-09 13:32:17.815798', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 256, 'pitch': -5.2, 'roll': -1.17, 'pres': 185}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 4.17, 'datetime': '2018-10-09 13:32:17.826158', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 256, 'pitch': -5.91, 'roll': -1.57, 'pres': 183}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.87, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 4.12, 'datetime': '2018-10-09 13:32:17.836555', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 256, 'pitch': -6.54, 'roll': -1.98, 'pres': 183}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 3.99, 'datetime': '2018-10-09 13:32:17.846930', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 256, 'pitch': -6.99, 'roll': -2.42, 'pres': 182}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 3.68, 'datetime': '2018-10-09 13:32:17.857283', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 257, 'pitch': -6.91, 'roll': -2.77, 'pres': 182}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 3.27, 'datetime': '2018-10-09 13:32:17.867507', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 257, 'pitch': -6.18, 'roll': -3.09, 'pres': 181}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 2.73, 'datetime': '2018-10-09 13:32:17.877379', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 257, 'pitch': -4.79, 'roll': -3.47, 'pres': 180}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 2.09, 'datetime': '2018-10-09 13:32:17.887200', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 257, 'pitch': -3.8, 'roll': -3.66, 'pres': 181}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 1.43, 'datetime': '2018-10-09 13:32:17.950081', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 257, 'pitch': -3.41, 'roll': -3.68, 'pres': 180}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 1.02, 'datetime': '2018-10-09 13:32:17.959966', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 257, 'pitch': -3.68, 'roll': -3.54, 'pres': 180}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 0.77, 'datetime': '2018-10-09 13:32:17.969787', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 257, 'pitch': -4.32, 'roll': -3.23, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 0.67, 'datetime': '2018-10-09 13:32:17.979616', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 257, 'pitch': -4.72, 'roll': -3.01, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 0.5, 'datetime': '2018-10-09 13:32:17.989414', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 257, 'pitch': -4.55, 'roll': -2.94, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 0.22, 'datetime': '2018-10-09 13:32:17.999210', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 258, 'pitch': -3.28, 'roll': -3.16, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-09 13:32:18.008993', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 258, 'pitch': -1.38, 'roll': -3.64, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': -0.11, 'datetime': '2018-10-09 13:32:18.018810', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 258, 'pitch': 0.81, 'roll': -4.12, 'pres': 179}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 0.08, 'datetime': '2018-10-09 13:32:18.028616', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 258, 'pitch': 2.26, 'roll': -4.37, 'pres': 180}
{'lipoC2': 7.36, 'lipoC3S1': 3.92, 'temp': 30.44, 'lipoC3S3': 11.85, 'lipoC3S2': 7.84, 'rot1': 1468, 'rot0': 1456, 'rot3': 737, 'rot2': 682, 'state': 'normal', 'yaw': 0.38, 'datetime': '2018-10-09 13:32:18.038391', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 258, 'pitch': 2.83, 'roll': -4.26, 'pres': 179}
