{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 79.09, 'datetime': '2018-10-09 20:02:57.569530', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': -1.36, 'roll': 9.19, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 81.9, 'datetime': '2018-10-09 20:03:00.597251', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 22, 'pitch': -0.96, 'roll': 8.99, 'pres': 177}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 84.4, 'datetime': '2018-10-09 20:03:03.640104', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': -0.64, 'roll': 8.36, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 86.86, 'datetime': '2018-10-09 20:03:03.671022', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': -0.37, 'roll': 7.39, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 89.51, 'datetime': '2018-10-09 20:03:03.701406', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': -0.05, 'roll': 6.03, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 91.86, 'datetime': '2018-10-09 20:03:03.731841', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': 0.28, 'roll': 4.63, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 94.37, 'datetime': '2018-10-09 20:03:03.754135', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': 0.64, 'roll': 3.08, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 27.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 96.59, 'datetime': '2018-10-09 20:03:03.770081', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': 0.89, 'roll': 1.78, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 27.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 98.66, 'datetime': '2018-10-09 20:03:03.786079', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': 0.8, 'roll': 0.75, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 100.82, 'datetime': '2018-10-09 20:03:03.802025', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 22, 'pitch': 0.44, 'roll': 0.0, 'pres': 176}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 26.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 26, 'rot0': 27, 'rot3': 55, 'rot2': 43, 'state': 'normal', 'yaw': 102.82, 'datetime': '2018-10-09 20:03:03.817962', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 23, 'pitch': 0.01, 'roll': -0.33, 'pres': 176}
