{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.908598', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 1, 'pitch': -10.94, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.919742', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 1, 'pitch': -10.96, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.930659', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 1, 'pitch': -10.96, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.940960', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 1, 'pitch': -10.96, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.950914', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 1, 'pitch': -10.97, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.960842', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.970680', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.980775', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:03.990620', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.000534', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
