{'lipoC2': 0.0, 'lipoC3S1': 4.05, 'temp': 26.25, 'lipoC3S3': 12.23, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -22.55, 'datetime': '2018-10-03 16:37:05.067734', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1321, 'pitch': -5.73, 'roll': 6.63, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.23, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -22.54, 'datetime': '2018-10-03 16:37:05.091992', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1321, 'pitch': -5.6, 'roll': 6.77, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 16:37:05.115397', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -5.84, 'roll': 6.52, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-03 16:37:05.138771', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -5.9, 'roll': 6.5, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-03 16:37:05.159773', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -5.9, 'roll': 6.5, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-03 16:37:05.169753', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -5.9, 'roll': 6.5, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-03 16:37:05.179857', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 1, 'pitch': -5.9, 'roll': 6.56, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-03 16:37:05.189896', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 1, 'pitch': -5.88, 'roll': 6.64, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-03 16:37:05.199963', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 1, 'pitch': -5.81, 'roll': 6.72, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 16:37:05.209927', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 1, 'pitch': -5.69, 'roll': 6.66, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.07, 'datetime': '2018-10-03 16:37:05.219962', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -5.62, 'roll': 6.52, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.11, 'datetime': '2018-10-03 16:37:05.229947', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -5.61, 'roll': 6.37, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.11, 'datetime': '2018-10-03 16:37:05.239999', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -5.75, 'roll': 6.32, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.09, 'datetime': '2018-10-03 16:37:05.250014', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 2, 'pitch': -5.9, 'roll': 6.32, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.08, 'datetime': '2018-10-03 16:37:05.260154', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 2, 'pitch': -5.95, 'roll': 6.32, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.08, 'datetime': '2018-10-03 16:37:05.271035', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 2, 'pitch': -5.95, 'roll': 6.32, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.31, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.08, 'datetime': '2018-10-03 16:37:05.281193', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 2, 'pitch': -5.95, 'roll': 6.32, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.31, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.08, 'datetime': '2018-10-03 16:37:05.291218', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 2, 'pitch': -5.95, 'roll': 6.39, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.08, 'datetime': '2018-10-03 16:37:05.301591', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 2, 'pitch': -5.95, 'roll': 6.47, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.08, 'datetime': '2018-10-03 16:37:05.311660', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 3, 'pitch': -5.95, 'roll': 6.54, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.09, 'datetime': '2018-10-03 16:37:05.321627', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 3, 'pitch': -5.91, 'roll': 6.58, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.1, 'datetime': '2018-10-03 16:37:05.331598', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 3, 'pitch': -5.8, 'roll': 6.58, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.25, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.16, 'datetime': '2018-10-03 16:37:05.341575', 'mgs': 0, 'volt': 1.0205, 'depth': 3.445, 'time': 3, 'pitch': -5.76, 'roll': 6.51, 'pres': 209}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.24, 'datetime': '2018-10-03 16:37:05.351584', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 3, 'pitch': -5.72, 'roll': 6.46, 'pres': 208}
{'lipoC2': 0.0, 'lipoC3S1': 4.04, 'temp': 26.19, 'lipoC3S3': 12.22, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.33, 'datetime': '2018-10-03 16:37:05.361532', 'mgs': 0, 'volt': 1.0156, 'depth': 3.369, 'time': 3, 'pitch': -5.61, 'roll': 6.46, 'pres': 208}
