{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.17, 'datetime': '2018-10-05 15:32:18.872726', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -4.97, 'roll': -1.31, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.6, 'datetime': '2018-10-05 15:32:24.905542', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -5.0, 'roll': -1.24, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.69, 'datetime': '2018-10-05 15:32:24.929857', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -4.96, 'roll': -1.15, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 17.7, 'datetime': '2018-10-05 15:32:24.953962', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -4.94, 'roll': -1.1, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 22.0, 'datetime': '2018-10-05 15:32:24.972136', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -4.98, 'roll': -1.01, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.56, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 26.96, 'datetime': '2018-10-05 15:32:24.991721', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 1, 'pitch': -4.95, 'roll': -0.9, 'pres': 160}
{'lipoC2': 7.9, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.31, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 31.62, 'datetime': '2018-10-05 15:32:25.011949', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -4.89, 'roll': -0.8, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.31, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 36.42, 'datetime': '2018-10-05 15:32:25.032000', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -4.94, 'roll': -0.72, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 41.85, 'datetime': '2018-10-05 15:32:25.052051', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.02, 'roll': -0.65, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 46.91, 'datetime': '2018-10-05 15:32:25.071037', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.06, 'roll': -0.56, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.31, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 52.06, 'datetime': '2018-10-05 15:32:25.090840', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.09, 'roll': -0.5, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 57.82, 'datetime': '2018-10-05 15:32:25.111128', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.17, 'roll': -0.43, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 63.11, 'datetime': '2018-10-05 15:32:25.131328', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.24, 'roll': -0.35, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 68.42, 'datetime': '2018-10-05 15:32:25.151327', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.3, 'roll': -0.31, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 74.27, 'datetime': '2018-10-05 15:32:25.171109', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -5.4, 'roll': -0.27, 'pres': 160}
{'lipoC2': 7.91, 'lipoC3S1': 4.16, 'temp': 25.81, 'lipoC3S3': 12.58, 'lipoC3S2': 8.31, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 79.6, 'datetime': '2018-10-05 15:32:25.188225', 'mgs': 1, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -5.48, 'roll': -0.25, 'pres': 160}
